cfg,rank,source,op_type,name,count,total_ms,avg_ms,max_ms,bytes_or_count
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_1_1,1,818.102425,818.102425,818.102425,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_5_1,1,456.698525,456.698525,456.698525,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_3_1,1,409.006692,409.006692,409.006692,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_9_1,1,144.830274,144.830274,144.830274,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_17_1,1,144.628169,144.628169,144.628169,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_7_1,1,141.587649,141.587649,141.587649,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_63_1,1,98.112501,98.112501,98.112501,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_95_1,1,91.049499,91.049499,91.049499,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_11_1,1,86.10466,86.10466,86.10466,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_71_1,1,85.488888,85.488888,85.488888,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_57_1,1,41.342586,41.342586,41.342586,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_53_1,1,39.52105,39.52105,39.52105,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_13_1,1,39.440528,39.440528,39.440528,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_91_1,1,39.267064,39.267064,39.267064,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_39_1,1,39.04362,39.04362,39.04362,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_77_1,1,38.703014,38.703014,38.703014,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_15_1,1,38.249744,38.249744,38.249744,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_85_1,1,37.950218,37.950218,37.950218,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_61_1,1,37.377707,37.377707,37.377707,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_47_1,1,37.214844,37.214844,37.214844,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_35_1,1,37.141142,37.141142,37.141142,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_73_1,1,36.936998,36.936998,36.936998,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_37_1,1,36.856017,36.856017,36.856017,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_93_1,1,36.653893,36.653893,36.653893,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_31_1,1,36.581691,36.581691,36.581691,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_51_1,1,36.464829,36.464829,36.464829,16777216
decode-dbo_ep16_all_to_all_single_b32_s256_t3,0,COMMUNICATION_OP,hcom_receive_,hcom_receive__915_87_1,1,36.413507,36.413507,36.413507,16777216
