mode,ep_size,backend,attn_kernel,attn_fused_rmsnorm,attn_fused_rope,num_micro_batches,batch,seq,tokens,decode_tpot_ms,serial_tpot_ms,speedup_vs_ep_serial,prefill_ms,attention_avg_layer_ms_excl_l0,ffn_avg_layer_ms_excl_l0,a2f_send_avg_layer_ms_excl_l0,f2a_send_avg_layer_ms_excl_l0,attention_recv_wait_avg_layer_ms_excl_l0,moe_router_avg_layer_ms_excl_l0,ep_dispatch_avg_layer_ms_excl_l0,ep_local_experts_avg_layer_ms_excl_l0,ep_reduce_avg_layer_ms_excl_l0,attention_sum_ms_excl_l0,ffn_sum_ms_excl_l0,overlap_efficiency_proxy,attn_timing,ffn_timing
decode-dbo,16,broadcast_reduce_overlap,npu-official,True,True,2,256,1024,20,1137.2027183196653,1041.6124509524946,0.9159426320151474,29956.730311037973,1.5367296514438187,1.5602352102584345,0.08129799599818727,0.06361625236558154,1.5181190448198865,0.11989664524159532,1.9155530075720968,1.440338565016839,1.0172368294777387,72.22629361785948,73.33105488214642,0.3380729888905108,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b256_s1024_t20/timing_attention_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b256_s1024_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b256_s1024_t20/timing_ffn_coordinator_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b256_s1024_t20.json
decode-dbo-crosslayer,16,broadcast_reduce_overlap,npu-official,True,True,2,256,1024,20,1148.943134791855,1041.6124509524946,0.9065831192256484,30239.060573047027,1.5356228067638709,1.8128373120178252,0.08784457694422057,0.08307386467114408,1.856902299666817,0.1420096142534563,2.145147003094725,1.6708276977643688,1.1298157388661454,72.17427191790193,85.20335366483778,0.34826341881458306,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b256_s1024_t20/timing_attention_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b256_s1024_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b256_s1024_t20/timing_ffn_coordinator_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b256_s1024_t20.json
serial,16,broadcast_reduce_overlap,npu-official,True,True,2,256,1024,20,1041.6124509524946,1041.6124509524946,1.0,30228.562620002776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b256_s1024_t20/timing_attention_xhost_static_serial_ep16_broadcast_reduce_overlap_b256_s1024_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b256_s1024_t20/timing_ffn_coordinator_xhost_static_serial_ep16_broadcast_reduce_overlap_b256_s1024_t20.json
decode-dbo,16,broadcast_reduce_overlap,npu-official,True,True,2,256,512,20,1119.4968367314063,1021.9249085302612,0.9128430514497693,17382.786465110257,1.233581547684809,1.8183970229422792,0.07828578669974144,0.06405082333119626,2.013982085392196,0.12429170013266674,1.7963516738939476,1.6941053228096126,1.1361490989579481,57.97833274118602,85.46466007828712,0.35894416605499935,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b256_s512_t20/timing_attention_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b256_s512_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b256_s512_t20/timing_ffn_coordinator_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b256_s512_t20.json
decode-dbo-crosslayer,16,broadcast_reduce_overlap,npu-official,True,True,2,256,512,20,1119.637128676435,1021.9249085302612,0.9127286710635587,17395.310333929956,1.1913884193339246,2.041394260038245,0.07741428673901457,0.07533193863135704,2.2913748869038324,0.1301826200784838,2.081602063782989,1.9112116399597614,1.2315983235083046,55.99525570869446,95.94553022179753,0.36953947014484045,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b256_s512_t20/timing_attention_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b256_s512_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b256_s512_t20/timing_ffn_coordinator_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b256_s512_t20.json
serial,16,broadcast_reduce_overlap,npu-official,True,True,2,256,512,20,1021.9249085302612,1021.9249085302612,1.0,17488.510113907978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b256_s512_t20/timing_attention_xhost_static_serial_ep16_broadcast_reduce_overlap_b256_s512_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b256_s512_t20/timing_ffn_coordinator_xhost_static_serial_ep16_broadcast_reduce_overlap_b256_s512_t20.json
decode-dbo,16,broadcast_reduce_overlap,npu-official,True,True,2,256,256,20,1123.6407493216623,1012.8143882060325,0.9013685101910596,11778.330676956102,1.0631347540766,1.9777426421840458,0.08013127173515076,0.07543177839289321,2.307270926007248,0.13167445765847854,1.8814052900973153,1.846068184525567,1.23750402324615,49.9673334416002,92.95390418265015,0.3697995124685285,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b256_s256_t20/timing_attention_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b256_s256_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b256_s256_t20/timing_ffn_coordinator_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b256_s256_t20.json
decode-dbo-crosslayer,16,broadcast_reduce_overlap,npu-official,True,True,2,256,256,20,1109.2015929446604,1012.8143882060325,0.9131021760591388,11716.0635960754,1.0798100624827947,1.9050135396103909,0.08771039218582372,0.07053027474420502,2.26945962826226,0.1295363218424485,1.8955117581967027,1.7754772177679425,1.185775732007274,50.751072936691344,89.53563636168838,0.3625639228210237,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b256_s256_t20/timing_attention_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b256_s256_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b256_s256_t20/timing_ffn_coordinator_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b256_s256_t20.json
serial,16,broadcast_reduce_overlap,npu-official,True,True,2,256,256,20,1012.8143882060325,1012.8143882060325,1.0,11741.137898061424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b256_s256_t20/timing_attention_xhost_static_serial_ep16_broadcast_reduce_overlap_b256_s256_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b256_s256_t20/timing_ffn_coordinator_xhost_static_serial_ep16_broadcast_reduce_overlap_b256_s256_t20.json
decode-dbo,16,broadcast_reduce_overlap,npu-official,True,True,2,256,128,20,1113.9859275304173,1015.9563490459205,0.9120010620764147,8819.378484040499,1.0418297693212615,1.9884087105697774,0.08694568718288173,0.07201614789664745,2.3188441744113857,0.13126707586281477,1.8956214313375506,1.8571416347069627,1.1800771549423323,48.965999158099294,93.45520939677954,0.37172891859699375,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b256_s128_t20/timing_attention_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b256_s128_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b256_s128_t20/timing_ffn_coordinator_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b256_s128_t20.json
