root,mode,tag,batch,seq,tokens,status,serial_cache,serial_baseline_ms,dbo_ms,speedup,note
results,decode,decode-dbo_b128_s128_t20,128,128,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b128_s128_t20.json,,0.000000,,exact TPOT baseline missing; decode_tpot_ms unavailable
results,decode,decode-dbo_b128_s256_t20,128,256,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b128_s256_t20.json,,0.000000,,exact TPOT baseline missing; decode_tpot_ms unavailable
results,decode,decode-dbo_b128_s512_t20,128,512,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b128_s512_t20.json,,0.000000,,exact TPOT baseline missing; decode_tpot_ms unavailable
results,decode,decode-dbo_b16_s128_t20,16,128,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b16_s128_t20.json,,0.000000,,decode_tpot_ms missing; legacy decode_step_ms is not used for exact TPOT speedup
results,decode,decode-dbo_b16_s256_t20,16,256,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b16_s256_t20.json,,0.000000,,decode_tpot_ms missing; legacy decode_step_ms is not used for exact TPOT speedup
results,decode,decode-dbo_b16_s512_t20,16,512,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b16_s512_t20.json,,0.000000,,decode_tpot_ms missing; legacy decode_step_ms is not used for exact TPOT speedup
results,decode,decode-dbo_b2_s128_t20,2,128,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b2_s128_t20.json,,0.000000,,decode_tpot_ms missing; legacy decode_step_ms is not used for exact TPOT speedup
results,decode,decode-dbo_b2_s128_t5,2,128,5,ok,/home/zyz/afd_demo/results/serial/cache/b2_s128_t5.json,228.238379,302.959170,0.753363,decode_tpot_ms
results,decode,decode-dbo_b2_s256_t20,2,256,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b2_s256_t20.json,,0.000000,,decode_tpot_ms missing; legacy decode_step_ms is not used for exact TPOT speedup
results,decode,decode-dbo_b2_s512_t20,2,512,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b2_s512_t20.json,,0.000000,,decode_tpot_ms missing; legacy decode_step_ms is not used for exact TPOT speedup
results,decode,decode-dbo_b32_s128_t20,32,128,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b32_s128_t20.json,,0.000000,,decode_tpot_ms missing; legacy decode_step_ms is not used for exact TPOT speedup
results,decode,decode-dbo_b32_s256_t20,32,256,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b32_s256_t20.json,,0.000000,,decode_tpot_ms missing; legacy decode_step_ms is not used for exact TPOT speedup
