root,mode,tag,batch,seq,tokens,status,serial_cache,serial_baseline_ms,dbo_ms,speedup,note
results,decode,decode-dbo_b128_s1024_t20,128,1024,20,ok,/home/zyz/afd_demo/results/serial/cache/b128_s1024_t20.json,1182.399530,1778.604051,0.664791,decode_tpot_ms
results,decode,decode-dbo_b128_s128_t20,128,128,20,ok,/home/zyz/afd_demo/results/serial/cache/b128_s128_t20.json,1146.197837,1813.077556,0.632184,decode_tpot_ms
results,decode,decode-dbo_b128_s2048_t20,128,2048,20,ok,/home/zyz/afd_demo/results/serial/cache/b128_s2048_t20.json,1188.889624,1718.947907,0.691638,decode_tpot_ms
results,decode,decode-dbo_b128_s256_t20,128,256,20,ok,/home/zyz/afd_demo/results/serial/cache/b128_s256_t20.json,1161.295435,1702.904555,0.681950,decode_tpot_ms
results,decode,decode-dbo_b128_s512_t20,128,512,20,ok,/home/zyz/afd_demo/results/serial/cache/b128_s512_t20.json,1180.471547,1761.031897,0.670329,decode_tpot_ms
results,decode,decode-dbo_b16_s1024_t20,16,1024,20,ok,/home/zyz/afd_demo/results/serial/cache/b16_s1024_t20.json,648.678027,709.267364,0.914575,decode_tpot_ms
results,decode,decode-dbo_b16_s128_t20,16,128,20,ok,/home/zyz/afd_demo/results/serial/cache/b16_s128_t20.json,626.622245,754.527633,0.830483,decode_tpot_ms
results,decode,decode-dbo_b16_s2048_t20,16,2048,20,ok,/home/zyz/afd_demo/results/serial/cache/b16_s2048_t20.json,557.740654,731.965019,0.761977,decode_tpot_ms
results,decode,decode-dbo_b16_s256_t20,16,256,20,ok,/home/zyz/afd_demo/results/serial/cache/b16_s256_t20.json,629.982726,807.359565,0.780300,decode_tpot_ms
results,decode,decode-dbo_b16_s512_t20,16,512,20,ok,/home/zyz/afd_demo/results/serial/cache/b16_s512_t20.json,565.472065,733.958036,0.770442,decode_tpot_ms
results,decode,decode-dbo_b192_s1024_t20,192,1024,20,ok,/home/zyz/afd_demo/results/serial/cache/b192_s1024_t20.json,1305.775751,1918.322318,0.680686,decode_tpot_ms
results,decode,decode-dbo_b192_s128_t20,192,128,20,ok,/home/zyz/afd_demo/results/serial/cache/b192_s128_t20.json,1271.076481,1877.441979,0.677026,decode_tpot_ms
results,decode,decode-dbo_b192_s2048_t20,192,2048,20,ok,/home/zyz/afd_demo/results/serial/cache/b192_s2048_t20.json,1301.443148,1924.608449,0.676212,decode_tpot_ms
results,decode,decode-dbo_b192_s256_t20,192,256,20,ok,/home/zyz/afd_demo/results/serial/cache/b192_s256_t20.json,1274.124476,1940.146792,0.656716,decode_tpot_ms
results,decode,decode-dbo_b192_s512_t20,192,512,20,ok,/home/zyz/afd_demo/results/serial/cache/b192_s512_t20.json,1298.569163,1891.597182,0.686493,decode_tpot_ms
results,decode,decode-dbo_b2_s1024_t20,2,1024,20,ok,/home/zyz/afd_demo/results/serial/cache/b2_s1024_t20.json,212.600292,281.178466,0.756104,decode_tpot_ms
results,decode,decode-dbo_b2_s128_t20,2,128,20,ok,/home/zyz/afd_demo/results/serial/cache/b2_s128_t20.json,228.921004,259.710603,0.881447,decode_tpot_ms
results,decode,decode-dbo_b2_s2048_t20,2,2048,20,ok,/home/zyz/afd_demo/results/serial/cache/b2_s2048_t20.json,212.914007,279.666848,0.761313,decode_tpot_ms
results,decode,decode-dbo_b2_s256_t20,2,256,20,ok,/home/zyz/afd_demo/results/serial/cache/b2_s256_t20.json,219.724763,241.425513,0.910114,decode_tpot_ms
results,decode,decode-dbo_b2_s512_t20,2,512,20,ok,/home/zyz/afd_demo/results/serial/cache/b2_s512_t20.json,227.343872,258.657512,0.878938,decode_tpot_ms
results,decode,decode-dbo_b32_s1024_t20,32,1024,20,ok,/home/zyz/afd_demo/results/serial/cache/b32_s1024_t20.json,724.051504,962.452154,0.752299,decode_tpot_ms
results,decode,decode-dbo_b32_s128_t20,32,128,20,ok,/home/zyz/afd_demo/results/serial/cache/b32_s128_t20.json,787.801116,1068.952632,0.736984,decode_tpot_ms
results,decode,decode-dbo_b32_s2048_t20,32,2048,20,ok,/home/zyz/afd_demo/results/serial/cache/b32_s2048_t20.json,764.025038,899.535093,0.849355,decode_tpot_ms
results,decode,decode-dbo_b32_s256_t20,32,256,20,ok,/home/zyz/afd_demo/results/serial/cache/b32_s256_t20.json,848.884019,998.976023,0.849754,decode_tpot_ms
results,decode,decode-dbo_b32_s512_t20,32,512,20,ok,/home/zyz/afd_demo/results/serial/cache/b32_s512_t20.json,846.999102,1022.907550,0.828031,decode_tpot_ms
results,decode,decode-dbo_b4_s1024_t20,4,1024,20,ok,/home/zyz/afd_demo/results/serial/cache/b4_s1024_t20.json,342.902107,319.959614,1.071704,decode_tpot_ms
results,decode,decode-dbo_b4_s128_t20,4,128,20,ok,/home/zyz/afd_demo/results/serial/cache/b4_s128_t20.json,314.743446,386.767342,0.813780,decode_tpot_ms
results,decode,decode-dbo_b4_s2048_t20,4,2048,20,ok,/home/zyz/afd_demo/results/serial/cache/b4_s2048_t20.json,296.566466,350.216983,0.846808,decode_tpot_ms
results,decode,decode-dbo_b4_s256_t20,4,256,20,ok,/home/zyz/afd_demo/results/serial/cache/b4_s256_t20.json,299.774377,409.659470,0.731765,decode_tpot_ms
results,decode,decode-dbo_b4_s512_t20,4,512,20,ok,/home/zyz/afd_demo/results/serial/cache/b4_s512_t20.json,291.490083,327.311454,0.890559,decode_tpot_ms
results,decode,decode-dbo_b64_s1024_t20,64,1024,20,ok,/home/zyz/afd_demo/results/serial/cache/b64_s1024_t20.json,989.862970,1397.475069,0.708322,decode_tpot_ms
results,decode,decode-dbo_b64_s128_t20,64,128,20,ok,/home/zyz/afd_demo/results/serial/cache/b64_s128_t20.json,997.959240,1343.196497,0.742973,decode_tpot_ms
