name,batch_size,seq_len,dbo,time_ms,throughput_tok_s
Qwen2-1.5B_batch2_seq128_dbo_on,2,128,on,7549.93,6.6
Qwen2-1.5B_batch2_seq128_dbo_off,2,128,off,7221.74,6.9
Qwen2-1.5B_batch2_seq512_dbo_on,2,512,on,8257.88,6.1
Qwen2-1.5B_batch2_seq512_dbo_off,2,512,off,7248.91,6.9
Qwen2-1.5B_batch4_seq128_dbo_on,4,128,on,13016.97,3.8
Qwen2-1.5B_batch4_seq128_dbo_off,4,128,off,7176.97,7.0
Qwen2-1.5B_batch4_seq512_dbo_on,4,512,on,13153.39,3.8
Qwen2-1.5B_batch4_seq512_dbo_off,4,512,off,7342.18,6.8
Qwen2-1.5B_batch8_seq128_dbo_on,8,128,on,13015.83,3.8
Qwen2-1.5B_batch8_seq128_dbo_off,8,128,off,7266.63,6.9
Qwen2-1.5B_batch8_seq512_dbo_on,8,512,on,13316.29,3.8
Qwen2-1.5B_batch8_seq512_dbo_off,8,512,off,7426.76,6.7
