mode,batch,seq,tokens,status,report
serial,2,128,20,ok,results/serial/report_serial_b2_s128_t20.md
serial,4,128,20,ok,results/serial/report_serial_b4_s128_t20.md
serial,8,128,20,ok,results/serial/report_serial_b8_s128_t20.md
serial,16,128,20,ok,results/serial/report_serial_b16_s128_t20.md
serial,32,128,20,ok,results/serial/report_serial_b32_s128_t20.md
serial,64,128,20,ok,results/serial/report_serial_b64_s128_t20.md
serial,2,256,20,ok,results/serial/report_serial_b2_s256_t20.md
serial,4,256,20,ok,results/serial/report_serial_b4_s256_t20.md
serial,8,256,20,ok,results/serial/report_serial_b8_s256_t20.md
serial,16,256,20,ok,results/serial/report_serial_b16_s256_t20.md
serial,32,256,20,ok,results/serial/report_serial_b32_s256_t20.md
serial,64,256,20,ok,results/serial/report_serial_b64_s256_t20.md
serial,2,512,20,ok,results/serial/report_serial_b2_s512_t20.md
serial,4,512,20,ok,results/serial/report_serial_b4_s512_t20.md
serial,8,512,20,ok,results/serial/report_serial_b8_s512_t20.md
serial,16,512,20,ok,results/serial/report_serial_b16_s512_t20.md
serial,32,512,20,ok,results/serial/report_serial_b32_s512_t20.md
serial,64,512,20,ok,results/serial/report_serial_b64_s512_t20.md
