mode,batch,seq,tokens,status,report
serial,96,128,20,ok,results/serial/report_serial_b96_s128_t20.md
serial,128,128,20,ok,results/serial/report_serial_b128_s128_t20.md
serial,192,128,20,ok,results/serial/report_serial_b192_s128_t20.md
serial,256,128,20,OOM,
serial,96,256,20,ok,results/serial/report_serial_b96_s256_t20.md
serial,128,256,20,ok,results/serial/report_serial_b128_s256_t20.md
serial,192,256,20,ok,results/serial/report_serial_b192_s256_t20.md
serial,256,256,20,OOM,
serial,96,512,20,ok,results/serial/report_serial_b96_s512_t20.md
serial,128,512,20,ok,results/serial/report_serial_b128_s512_t20.md
serial,192,512,20,ok,results/serial/report_serial_b192_s512_t20.md
serial,256,512,20,OOM,
prefill-dbo,96,128,20,OOM,
prefill-dbo,96,256,20,OOM,
prefill-dbo,96,512,20,OOM,
decode-dbo,96,128,20,ok,results/decode-dbo/report_decode-dbo_b96_s128_t20.md
decode-dbo,128,128,20,ok,results/decode-dbo/report_decode-dbo_b128_s128_t20.md
decode-dbo,192,128,20,ok,results/decode-dbo/report_decode-dbo_b192_s128_t20.md
decode-dbo,256,128,20,OOM,
decode-dbo,96,256,20,ok,results/decode-dbo/report_decode-dbo_b96_s256_t20.md
decode-dbo,128,256,20,ok,results/decode-dbo/report_decode-dbo_b128_s256_t20.md
decode-dbo,192,256,20,ok,results/decode-dbo/report_decode-dbo_b192_s256_t20.md
decode-dbo,256,256,20,OOM,
decode-dbo,96,512,20,ok,results/decode-dbo/report_decode-dbo_b96_s512_t20.md
decode-dbo,128,512,20,ok,results/decode-dbo/report_decode-dbo_b128_s512_t20.md
decode-dbo,192,512,20,ok,results/decode-dbo/report_decode-dbo_b192_s512_t20.md
decode-dbo,256,512,20,OOM,
decode-dbo-crosslayer,96,128,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b96_s128_t20.md
decode-dbo-crosslayer,128,128,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b128_s128_t20.md
decode-dbo-crosslayer,192,128,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b192_s128_t20.md
decode-dbo-crosslayer,256,128,20,OOM,
decode-dbo-crosslayer,96,256,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b96_s256_t20.md
decode-dbo-crosslayer,128,256,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b128_s256_t20.md
decode-dbo-crosslayer,192,256,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b192_s256_t20.md
decode-dbo-crosslayer,256,256,20,OOM,
decode-dbo-crosslayer,96,512,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b96_s512_t20.md
decode-dbo-crosslayer,128,512,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b128_s512_t20.md
decode-dbo-crosslayer,192,512,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b192_s512_t20.md
decode-dbo-crosslayer,256,512,20,OOM,
