mode,batch,seq,tokens,status,report
serial,2,1024,20,ok,results/serial/report_serial_b2_s1024_t20.md
serial,4,1024,20,ok,results/serial/report_serial_b4_s1024_t20.md
serial,8,1024,20,ok,results/serial/report_serial_b8_s1024_t20.md
serial,16,1024,20,ok,results/serial/report_serial_b16_s1024_t20.md
serial,32,1024,20,ok,results/serial/report_serial_b32_s1024_t20.md
serial,64,1024,20,ok,results/serial/report_serial_b64_s1024_t20.md
serial,96,1024,20,ok,results/serial/report_serial_b96_s1024_t20.md
serial,128,1024,20,ok,results/serial/report_serial_b128_s1024_t20.md
serial,192,1024,20,ok,results/serial/report_serial_b192_s1024_t20.md
serial,256,1024,20,OOM,
serial,2,2048,20,ok,results/serial/report_serial_b2_s2048_t20.md
serial,4,2048,20,ok,results/serial/report_serial_b4_s2048_t20.md
serial,8,2048,20,ok,results/serial/report_serial_b8_s2048_t20.md
serial,16,2048,20,ok,results/serial/report_serial_b16_s2048_t20.md
serial,32,2048,20,ok,results/serial/report_serial_b32_s2048_t20.md
serial,64,2048,20,ok,results/serial/report_serial_b64_s2048_t20.md
serial,96,2048,20,ok,results/serial/report_serial_b96_s2048_t20.md
serial,128,2048,20,ok,results/serial/report_serial_b128_s2048_t20.md
serial,192,2048,20,ok,results/serial/report_serial_b192_s2048_t20.md
serial,256,2048,20,OOM,
prefill-dbo,2,1024,20,ok,results/prefill-dbo/report_prefill-dbo_b2_s1024_t20.md
prefill-dbo,4,1024,20,ok,results/prefill-dbo/report_prefill-dbo_b4_s1024_t20.md
prefill-dbo,8,1024,20,ok,results/prefill-dbo/report_prefill-dbo_b8_s1024_t20.md
prefill-dbo,16,1024,20,OOM,
prefill-dbo,2,2048,20,ok,results/prefill-dbo/report_prefill-dbo_b2_s2048_t20.md
prefill-dbo,4,2048,20,ok,results/prefill-dbo/report_prefill-dbo_b4_s2048_t20.md
prefill-dbo,8,2048,20,OOM,
decode-dbo,2,1024,20,ok,results/decode-dbo/report_decode-dbo_b2_s1024_t20.md
decode-dbo,4,1024,20,ok,results/decode-dbo/report_decode-dbo_b4_s1024_t20.md
decode-dbo,8,1024,20,ok,results/decode-dbo/report_decode-dbo_b8_s1024_t20.md
decode-dbo,16,1024,20,ok,results/decode-dbo/report_decode-dbo_b16_s1024_t20.md
decode-dbo,32,1024,20,ok,results/decode-dbo/report_decode-dbo_b32_s1024_t20.md
decode-dbo,64,1024,20,ok,results/decode-dbo/report_decode-dbo_b64_s1024_t20.md
decode-dbo,96,1024,20,ok,results/decode-dbo/report_decode-dbo_b96_s1024_t20.md
decode-dbo,128,1024,20,ok,results/decode-dbo/report_decode-dbo_b128_s1024_t20.md
decode-dbo,192,1024,20,ok,results/decode-dbo/report_decode-dbo_b192_s1024_t20.md
