name,phase,batch_size,seq_len,dbo,time_ms,tok_s
dbo_b1_s128,prefill,1,128,on,876.38,
serial_b1_s128,prefill,1,128,off,855.05,
dbo_b2_s128,prefill,2,128,on,1041.90,
serial_b2_s128,prefill,2,128,off,941.91,
dbo_b4_s128,prefill,4,128,on,1089.26,
serial_b4_s128,prefill,4,128,off,1017.95,
dbo_b8_s128,prefill,8,128,on,1204.90,
serial_b8_s128,prefill,8,128,off,1131.11,
dbo_b16_s128,prefill,16,128,on,1516.61,
serial_b16_s128,prefill,16,128,off,1465.33,
dbo_b32_s128,prefill,32,128,on,2093.51,
serial_b32_s128,prefill,32,128,off,2070.59,
dbo_b64_s128,prefill,64,128,on,3303.11,
serial_b64_s128,prefill,64,128,off,3256.40,
dbo_b128_s128,prefill,128,128,on,5822.58,
serial_b128_s128,prefill,128,128,off,5745.54,
dbo_b8_s32,prefill,8,32,on,1013.35,
serial_b8_s32,prefill,8,32,off,970.43,
dbo_b8_s64,prefill,8,64,on,1096.80,
serial_b8_s64,prefill,8,64,off,1017.57,
dbo_b8_s128,prefill,8,128,on,1172.37,
serial_b8_s128,prefill,8,128,off,1125.35,
dbo_b8_s256,prefill,8,256,on,1544.21,
serial_b8_s256,prefill,8,256,off,1461.31,
dbo_b8_s512,prefill,8,512,on,2137.64,
serial_b8_s512,prefill,8,512,off,2096.65,
dbo_b8_s1024,prefill,8,1024,on,3536.34,
serial_b8_s1024,prefill,8,1024,off,3441.12,
dbo_b8_s2048,prefill,8,2048,on,6684.65,
serial_b8_s2048,prefill,8,2048,off,6602.36,
dbo_b1_s128,decode,1,128,on,2018.56,9.9
serial_b1_s128,decode,1,128,off,1985.60,10.1
dbo_b2_s128,decode,2,128,on,2517.04,7.9
serial_b2_s128,decode,2,128,off,2547.52,7.9
dbo_b4_s128,decode,4,128,on,2534.01,7.9
serial_b4_s128,decode,4,128,off,2518.52,7.9
dbo_b8_s128,decode,8,128,on,2605.80,7.7
serial_b8_s128,decode,8,128,off,2564.38,7.8
dbo_b16_s128,decode,16,128,on,2610.66,7.7
serial_b16_s128,decode,16,128,off,2605.55,7.7
dbo_b32_s128,decode,32,128,on,2977.53,6.7
serial_b32_s128,decode,32,128,off,2921.33,6.8
dbo_b64_s128,decode,64,128,on,3293.96,6.1
serial_b64_s128,decode,64,128,off,3270.08,6.1
