phase,config,dbo,total_ms,speedup
decode,b16_t20,ON,700.2,11.56x
decode,b16_t20,OFF,8093.4,11.56x
decode,b2_t20,ON,348.5,18.92x
decode,b2_t20,OFF,6595.2,18.92x
decode,b32_t20,ON,706.8,14.13x
decode,b32_t20,OFF,9988.0,14.13x
decode,b4_t20,ON,697.6,9.60x
decode,b4_t20,OFF,6693.6,9.60x
decode,b64_t20,ON,734.6,18.51x
decode,b64_t20,OFF,13593.8,18.51x
decode,b8_t20,ON,699.1,10.27x
decode,b8_t20,OFF,7177.2,10.27x
prefill,b16_s256,ON,4901.0,1.27x
prefill,b16_s256,OFF,6205.2,1.27x
prefill,b16_s512,ON,6435.6,1.44x
prefill,b16_s512,OFF,9270.8,1.44x
prefill,b32_s256,ON,6321.4,1.40x
prefill,b32_s256,OFF,8863.5,1.40x
prefill,b4_s128,ON,3633.3,1.10x
prefill,b4_s128,OFF,3809.7,1.10x
prefill,b4_s64,ON,3599.6,0.68x
prefill,b4_s64,OFF,3672.2,0.68x
prefill,b64_s128,ON,6205.1,1.49x
prefill,b64_s128,OFF,8640.8,1.49x
prefill,b8_s1024,ON,6540.0,1.52x
prefill,b8_s1024,OFF,9951.3,1.52x
prefill,b8_s512,ON,4998.8,1.29x
prefill,b8_s512,OFF,6443.9,1.29x
prefill,b16_s128,ON,2580.7,1.28x
prefill,b16_s128,OFF,3294.8,1.28x
prefill,b2_s128,ON,1483.1,1.10x
prefill,b2_s128,OFF,1625.9,1.10x
prefill,b32_s128,ON,3253.3,1.41x
prefill,b32_s128,OFF,4574.3,1.41x
prefill,b4_s1024,ON,3483.4,1.53x
prefill,b4_s1024,OFF,5312.2,1.53x
prefill,b4_s128,ON,2142.0,1.10x
prefill,b4_s128,OFF,2364.8,1.10x
prefill,b4_s256,ON,2277.2,1.17x
prefill,b4_s256,OFF,2667.1,1.17x
prefill,b4_s512,ON,2752.0,1.28x
prefill,b4_s512,OFF,3526.9,1.28x
prefill,b4_s64,ON,3327.1,0.68x
prefill,b4_s64,OFF,2251.4,0.68x
prefill,b64_s128,ON,4740.1,1.49x
prefill,b64_s128,OFF,7081.7,1.49x
prefill,b8_s128,ON,2223.1,1.17x
prefill,b8_s128,OFF,2610.8,1.17x
