phase,batch,seq_len,dbo_ms,serial_ms,dbo_total_ms,serial_total_ms,dbo_per_token_ms,serial_per_token_ms,speedup_pct
prefill,2,128,1482.7,1718.0,,,,,15.9
prefill,4,64,3351.6,2340.2,,,,,-30.2
prefill,4,128,2144.6,2427.0,,,,,13.2
prefill,4,256,2265.3,2685.1,,,,,18.5
prefill,4,512,2752.9,3474.0,,,,,26.2
prefill,4,1024,3518.3,5104.4,,,,,45.1
prefill,8,128,2228.5,2631.9,,,,,18.1
prefill,16,128,2594.4,3242.4,,,,,25.0
prefill,32,128,3266.6,4388.8,,,,,34.4
prefill,64,128,4716.0,6679.6,,,,,41.6
decode,2,128,,,5763.0,6543.0,288.1,327.1,13.5
decode,4,128,,,10647.1,6681.4,532.4,334.1,-37.2
decode,8,128,,,11032.5,7143.1,551.6,357.2,-35.3
decode,16,128,,,11768.4,8112.5,588.4,405.6,-31.1
decode,32,128,,,13610.1,10007.9,680.5,500.4,-26.5
