phase,role,batch_size,seq_len,max_tokens,dbo_time_ms,serial_per_step_ms,serial_total_ms,speedup,speedup_pct
decode,attention,2,,20,279.1,328.2,6563.1,1.18,+17.6%
decode,attention,4,,20,499.5,330.5,6609.6,0.66,-33.8%
decode,attention,8,,20,502.6,361.4,7228.0,0.72,-28.1%
decode,attention,16,,20,498.3,398.3,7966.1,0.8,-20.1%
decode,attention,32,,20,500.1,500.8,10015.9,1.0,+0.1%
decode,ffn,2,,20,278.9,328.0,6559.6,1.18,+17.6%
decode,ffn,4,,20,499.2,330.3,6605.9,0.66,-33.8%
decode,ffn,8,,20,502.5,361.2,7224.2,0.72,-28.1%
decode,ffn,16,,20,498.1,398.1,7962.3,0.8,-20.1%
decode,ffn,32,,20,499.9,500.6,10012.1,1.0,+0.1%
prefill,attention,4,128,,3151.9,2433.7,2433.7,0.77,-22.8%
prefill,attention,4,256,,2266.6,2696.9,2696.9,1.19,+19.0%
prefill,attention,4,512,,2743.5,3474.6,3474.6,1.27,+26.6%
prefill,attention,4,1024,,3475.1,5897.1,5897.1,1.7,+69.7%
prefill,attention,8,128,,2228.4,2632.5,2632.5,1.18,+18.1%
prefill,attention,64,128,,4675.8,6825.0,6825.0,1.46,+46.0%
prefill,ffn,4,128,,3184.7,2435.1,2435.1,0.76,-23.5%
prefill,ffn,4,256,,2302.6,2698.6,2698.6,1.17,+17.2%
prefill,ffn,4,512,,2784.2,3477.3,3477.3,1.25,+24.9%
prefill,ffn,4,1024,,3523.1,6087.5,6087.5,1.73,+72.8%
prefill,ffn,8,128,,2262.9,2634.1,2634.1,1.16,+16.4%
prefill,ffn,64,128,,4742.6,6826.8,6826.8,1.44,+43.9%
