name,phase,batch_size,seq_len,dbo,time_ms,tok_s
serial_b4_s128,prefill,4,128,off,3607.35,
dbo_b4_s128,prefill,4,128,on,3389.33,
serial_b4_s256,prefill,4,256,off,3870.23,
dbo_b4_s256,prefill,4,256,on,3542.27,
serial_b4_s512,prefill,4,512,off,4752.52,
dbo_b4_s512,prefill,4,512,on,4103.41,
serial_b4_s1024,prefill,4,1024,off,6513.59,
dbo_b4_s1024,prefill,4,1024,on,4963.75,
serial_b8_s128,prefill,8,128,off,3866.91,
dbo_b8_s128,prefill,8,128,on,3470.18,
serial_b64_s128,prefill,64,128,off,8432.69,
dbo_b64_s128,prefill,64,128,on,6460.64,
serial_b2_s128,decode,2,128,off,7337.97,2.7
dbo_b2_s128,decode,2,128,on,6366.04,3.1
serial_b4_s128,decode,4,128,off,7301.56,2.7
dbo_b4_s128,decode,4,128,on,10639.53,1.9
serial_b8_s128,decode,8,128,off,7454.26,2.7
dbo_b8_s128,decode,8,128,on,10649.53,1.9
serial_b16_s128,decode,16,128,off,7618.45,2.6
dbo_b16_s128,decode,16,128,on,10196.02,2.0
serial_b32_s128,decode,32,128,off,8337.45,2.4
dbo_b32_s128,decode,32,128,on,10444.47,1.9
