root,mode,tag,batch,seq,tokens,status,serial_cache,serial_baseline_ms,dbo_ms,speedup,note
results_npu,decode,decode-dbo_b128_s1024_t20,128,1024,20,decode-fallback,/home/zyz/afd_demo/results_npu/serial/cache/b128_s1024_t20.json,1024.656899,415.365700,2.466879,total_time_ms/max_new_tokens fallback
results_npu,decode,decode-dbo_b128_s128_t20,128,128,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b128_s128_t20.json,912.706628,440.293487,2.072951,decode_step_ms
results_npu,decode,decode-dbo_b128_s2048_t20,128,2048,20,decode-fallback,/home/zyz/afd_demo/results_npu/serial/cache/b128_s2048_t20.json,1028.791202,362.273199,2.839821,total_time_ms/max_new_tokens fallback
results_npu,decode,decode-dbo_b128_s256_t20,128,256,20,decode-fallback,/home/zyz/afd_demo/results_npu/serial/cache/b128_s256_t20.json,1069.633449,367.702294,2.908966,total_time_ms/max_new_tokens fallback
results_npu,decode,decode-dbo_b128_s512_t20,128,512,20,decode-fallback,/home/zyz/afd_demo/results_npu/serial/cache/b128_s512_t20.json,1093.654313,419.593640,2.606461,total_time_ms/max_new_tokens fallback
results_npu,decode,decode-dbo_b16_s1024_t20,16,1024,20,decode-fallback,/home/zyz/afd_demo/results_npu/serial/cache/b16_s1024_t20.json,535.129006,350.676624,1.525990,total_time_ms/max_new_tokens fallback
results_npu,decode,decode-dbo_b16_s128_t20,16,128,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b16_s128_t20.json,491.471569,355.059063,1.384197,decode_step_ms
results_npu,decode,decode-dbo_b16_s2048_t20,16,2048,20,decode-fallback,/home/zyz/afd_demo/results_npu/serial/cache/b16_s2048_t20.json,539.849940,374.837348,1.440225,total_time_ms/max_new_tokens fallback
results_npu,decode,decode-dbo_b16_s256_t20,16,256,20,decode-fallback,/home/zyz/afd_demo/results_npu/serial/cache/b16_s256_t20.json,499.298804,321.981635,1.550706,total_time_ms/max_new_tokens fallback
results_npu,decode,decode-dbo_b16_s512_t20,16,512,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b16_s512_t20.json,501.683932,357.771635,1.402246,decode_step_ms
results_npu,decode,decode-dbo_b256_s1024_t20,256,1024,20,decode-fallback,/home/zyz/afd_demo/results_npu/serial/cache/b256_s1024_t20.json,1580.347889,389.763720,4.054631,total_time_ms/max_new_tokens fallback
results_npu,decode,decode-dbo_b256_s128_t20,256,128,20,decode-fallback,/home/zyz/afd_demo/results_npu/serial/cache/b256_s128_t20.json,1635.338844,392.636696,4.165018,total_time_ms/max_new_tokens fallback
results_npu,decode,decode-dbo_b256_s2048_t20,256,2048,20,decode-fallback,/home/zyz/afd_demo/results_npu/serial/cache/b256_s2048_t20.json,1622.438041,380.077740,4.268701,total_time_ms/max_new_tokens fallback
results_npu,decode,decode-dbo_b256_s256_t20,256,256,20,decode-fallback,/home/zyz/afd_demo/results_npu/serial/cache/b256_s256_t20.json,1572.990696,410.331048,3.833467,total_time_ms/max_new_tokens fallback
results_npu,decode,decode-dbo_b256_s512_t20,256,512,20,decode-fallback,/home/zyz/afd_demo/results_npu/serial/cache/b256_s512_t20.json,1594.089292,394.111920,4.044763,total_time_ms/max_new_tokens fallback
results_npu,decode,decode-dbo_b2_s1024_t20,2,1024,20,decode-fallback,/home/zyz/afd_demo/results_npu/serial/cache/b2_s1024_t20.json,305.848670,202.485107,1.510475,total_time_ms/max_new_tokens fallback
results_npu,decode,decode-dbo_b2_s128_t20,2,128,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b2_s128_t20.json,318.924017,226.603273,1.407411,decode_step_ms
results_npu,decode,decode-dbo_b2_s2048_t20,2,2048,20,decode-fallback,/home/zyz/afd_demo/results_npu/serial/cache/b2_s2048_t20.json,317.392812,229.621844,1.382241,total_time_ms/max_new_tokens fallback
results_npu,decode,decode-dbo_b2_s256_t20,2,256,20,decode-fallback,/home/zyz/afd_demo/results_npu/serial/cache/b2_s256_t20.json,314.627795,226.205235,1.390895,total_time_ms/max_new_tokens fallback
results_npu,decode,decode-dbo_b2_s512_t20,2,512,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b2_s512_t20.json,306.637448,220.162304,1.392779,decode_step_ms
results_npu,decode,decode-dbo_b32_s1024_t20,32,1024,20,decode-fallback,/home/zyz/afd_demo/results_npu/serial/cache/b32_s1024_t20.json,650.042160,337.047974,1.928634,total_time_ms/max_new_tokens fallback
