suffix,batch,seq,tokens_requested,rep,rc,decode_steps,decode_tpot_ms
aligned_decode-dbo_b1_s1024_t10_r1,1,1024,10,1,0,9,149.7668941091332
aligned_decode-dbo_b1_s1024_t10_r2,1,1024,10,2,0,9,145.79576533287764
aligned_decode-dbo_b1_s1024_t10_r3,1,1024,10,3,0,9,143.99149276626608
aligned_decode-dbo_b1_s128_t10_r1,1,128,10,1,0,9,145.32285566545195
aligned_decode-dbo_b1_s128_t10_r2,1,128,10,2,0,9,147.85093177730838
aligned_decode-dbo_b1_s128_t10_r3,1,128,10,3,0,9,151.61310808940067
aligned_decode-dbo_b1_s512_t10_r1,1,512,10,1,0,9,147.64637722530298
aligned_decode-dbo_b1_s512_t10_r2,1,512,10,2,0,9,147.0913125667721
aligned_decode-dbo_b1_s512_t10_r3,1,512,10,3,0,9,147.64224833601878
aligned_decode-dbo_b32_s1024_t10_r1,32,1024,10,1,0,9,700.7478785752836
aligned_decode-dbo_b32_s1024_t10_r2,32,1024,10,2,0,9,711.575826552386
aligned_decode-dbo_b32_s1024_t10_r3,32,1024,10,3,0,9,698.6323529078314
aligned_decode-dbo_b32_s128_t10_r1,32,128,10,1,0,9,750.707768343596
aligned_decode-dbo_b32_s128_t10_r2,32,128,10,2,0,9,736.4248249990245
aligned_decode-dbo_b32_s128_t10_r3,32,128,10,3,0,9,831.3944617596766
aligned_decode-dbo_b32_s512_t10_r1,32,512,10,1,0,9,755.0410571145928
aligned_decode-dbo_b32_s512_t10_r2,32,512,10,2,0,9,829.0749880899158
aligned_decode-dbo_b32_s512_t10_r3,32,512,10,3,0,9,708.0339884592427
aligned_decode-dbo_b8_s1024_t10_r1,8,1024,10,1,0,9,364.82751312562164
aligned_decode-dbo_b8_s1024_t10_r2,8,1024,10,2,0,9,334.2203402426094
aligned_decode-dbo_b8_s1024_t10_r3,8,1024,10,3,0,9,363.0026360042393
aligned_decode-dbo_b8_s128_t10_r1,8,128,10,1,0,9,367.60659634860025
aligned_decode-dbo_b8_s128_t10_r2,8,128,10,2,0,9,316.0305930974169
aligned_decode-dbo_b8_s128_t10_r3,8,128,10,3,0,9,329.98266422914133
aligned_decode-dbo_b8_s512_t10_r1,8,512,10,1,0,9,322.8043418946779
aligned_decode-dbo_b8_s512_t10_r2,8,512,10,2,0,9,348.2599107859035
aligned_decode-dbo_b8_s512_t10_r3,8,512,10,3,0,9,325.66468557342887
