phase,case,batch,seq,cache_len,ok_count,fail_count,latency_median_ms,latency_mean_ms,latency_min_ms,latency_max_ms,latency_std_ms,aggregate_delta_ms_vs_hf,aggregate_speedup_vs_hf,max_abs_diff_median,max_abs_diff_max,mean_abs_diff_median,mean_abs_diff_max
decode_core,hf_sdpa,1,1,128,1,0,0.12252107262611389,0.12252107262611389,0.12252107262611389,0.12252107262611389,0.0,0.0,1.0,,,,
decode_core,official_ifa,1,1,128,1,0,0.11061015538871288,0.11061015538871288,0.11061015538871288,0.11061015538871288,0.0,-0.011910917237401009,1.1076837582909358,0.0,0.0,0.0,0.0
decode_full_layer,hf,1,1,128,1,0,0.9667258709669113,0.9667258709669113,0.9667258709669113,0.9667258709669113,0.0,0.0,1.0,,,,
decode_full_layer,official,1,1,128,1,0,1.0015869047492743,1.0015869047492743,1.0015869047492743,1.0015869047492743,0.0,0.03486103378236294,0.9651941997074236,0.0,0.0,0.0,0.0
decode_full_layer,official_fused_both,1,1,128,1,0,0.7914749439805746,0.7914749439805746,0.7914749439805746,0.7914749439805746,0.0,-0.1752509269863367,1.2214232153767812,0.00048828125,0.00048828125,2.314583252882585e-05,2.314583252882585e-05
decode_full_layer,official_fused_rmsnorm,1,1,128,1,0,0.9081361349672079,0.9081361349672079,0.9081361349672079,0.9081361349672079,0.0,-0.05858973599970341,1.0645164681194181,0.00048828125,0.00048828125,2.35086445172783e-05,2.35086445172783e-05
decode_full_layer,official_fused_rope,1,1,128,1,0,0.8712250273674726,0.8712250273674726,0.8712250273674726,0.8712250273674726,0.0,-0.09550084359943867,1.1096167357450781,6.103515625e-05,6.103515625e-05,8.262271876446903e-06,8.262271876446903e-06
prefill_core,hf_sdpa,1,128,,1,0,0.13670092448592186,0.13670092448592186,0.13670092448592186,0.13670092448592186,0.0,0.0,1.0,,,,
prefill_core,official_pfa,1,128,,1,0,0.2656220458447933,0.2656220458447933,0.2656220458447933,0.2656220458447933,0.0,0.12892112135887146,0.5146444981671368,0.0,0.0,0.0,0.0
prefill_full_layer,hf,1,128,,1,0,1.437339000403881,1.437339000403881,1.437339000403881,1.437339000403881,0.0,0.0,1.0,,,,
prefill_full_layer,official,1,128,,1,0,1.4386388938874006,1.4386388938874006,1.4386388938874006,1.4386388938874006,0.0,0.0012998934835195541,0.9990964421377437,0.0,0.0,0.0,0.0
prefill_full_layer,official_fused_both,1,128,,1,0,0.9953270200639963,0.9953270200639963,0.9953270200639963,0.9953270200639963,0.0,-0.44201198033988476,1.444087190872669,0.001953125,0.001953125,2.845743983925786e-05,2.845743983925786e-05
prefill_full_layer,official_fused_rmsnorm,1,128,,1,0,1.096717081964016,1.096717081964016,1.096717081964016,1.096717081964016,0.0,-0.3406219184398651,1.3105832160741717,0.001953125,0.001953125,2.7711956136045046e-05,2.7711956136045046e-05
prefill_full_layer,official_fused_rope,1,128,,1,0,1.0540769435465336,1.0540769435465336,1.0540769435465336,1.0540769435465336,0.0,-0.3832620568573475,1.363599696591246,0.0009765625,0.0009765625,1.1143114534206688e-05,1.1143114534206688e-05
