root,mode,tag,batch,seq,tokens,status,serial_cache,serial_baseline_ms,dbo_ms,speedup,note
results_npu,decode,decode-dbo_b128_s1024_t20,128,1024,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b128_s1024_t20.json,982.756307,1260.676313,0.779547,decode_tpot_ms
results_npu,decode,decode-dbo_b128_s128_t20,128,128,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b128_s128_t20.json,943.196588,1342.717853,0.702453,decode_tpot_ms
results_npu,decode,decode-dbo_b128_s2048_t20,128,2048,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b128_s2048_t20.json,1036.087584,1271.478250,0.814869,decode_tpot_ms
results_npu,decode,decode-dbo_b128_s256_t20,128,256,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b128_s256_t20.json,1019.600885,1290.866591,0.789858,decode_tpot_ms
results_npu,decode,decode-dbo_b128_s512_t20,128,512,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b128_s512_t20.json,993.801008,1257.456599,0.790326,decode_tpot_ms
results_npu,decode,decode-dbo_b16_s1024_t20,16,1024,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b16_s1024_t20.json,476.024776,546.171839,0.871566,decode_tpot_ms
results_npu,decode,decode-dbo_b16_s128_t20,16,128,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b16_s128_t20.json,482.928947,501.907972,0.962186,decode_tpot_ms
results_npu,decode,decode-dbo_b16_s2048_t20,16,2048,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b16_s2048_t20.json,478.085149,499.879736,0.956400,decode_tpot_ms
results_npu,decode,decode-dbo_b16_s256_t20,16,256,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b16_s256_t20.json,502.990068,522.302561,0.963024,decode_tpot_ms
results_npu,decode,decode-dbo_b16_s512_t20,16,512,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b16_s512_t20.json,502.898644,546.922134,0.919507,decode_tpot_ms
results_npu,decode,decode-dbo_b256_s1024_t20,256,1024,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b256_s1024_t20.json,1543.601148,1808.707660,0.853428,decode_tpot_ms
results_npu,decode,decode-dbo_b256_s128_t20,256,128,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b256_s128_t20.json,1551.134683,1776.319255,0.873230,decode_tpot_ms
results_npu,decode,decode-dbo_b256_s2048_t20,256,2048,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b256_s2048_t20.json,1570.746133,1916.358678,0.819651,decode_tpot_ms
results_npu,decode,decode-dbo_b256_s256_t20,256,256,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b256_s256_t20.json,1501.062277,1929.385807,0.778000,decode_tpot_ms
results_npu,decode,decode-dbo_b256_s512_t20,256,512,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b256_s512_t20.json,1497.959812,2063.499202,0.725932,decode_tpot_ms
results_npu,decode,decode-dbo_b2_s1024_t20,2,1024,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b2_s1024_t20.json,223.939134,245.329586,0.912809,decode_tpot_ms
results_npu,decode,decode-dbo_b2_s128_t20,2,128,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b2_s128_t20.json,232.999309,232.407041,1.002548,decode_tpot_ms
