batch,seq,tokens,crosshost_status,crosshost_tpot_ms,crosshost_throughput_tok_s,singlehost_coord_tpot_ms,crosshost_vs_singlehost_tpot_ratio,crosshost_vs_singlehost_slowdown_pct,static_tpot_ms,crosshost_vs_static_tpot_ratio,crosshost_vs_static_slowdown_pct,crosshost_attention_log,crosshost_ffn_rank1_log,crosshost_ffn_rank7_log,singlehost_coord_report,static_attention_timing,singlehost_coord_attention_timing
2,128,20,OK,227.026000,8.809564,215.970056,1.051192,5.119202,226.392093,1.002800,0.280004,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b2_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b2_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b2_s128_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s128_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s128_t20.json
2,256,20,OK,224.198000,8.920686,214.474098,1.045338,4.533835,230.786524,0.971452,-2.854813,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b2_s256_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b2_s256_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b2_s256_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s256_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s256_t20.json
2,512,20,OK,230.250000,8.686211,234.565574,0.981602,-1.839816,237.961297,0.967594,-3.240568,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b2_s512_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b2_s512_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b2_s512_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s512_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s512_t20.json
4,128,20,OK,259.725000,15.400905,264.324701,0.982598,-1.740171,255.438195,1.016782,1.678216,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b4_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b4_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b4_s128_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s128_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s128_t20.json
4,256,20,OK,253.542000,15.776479,251.270127,1.009042,0.904156,253.578399,0.999856,-0.014354,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b4_s256_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b4_s256_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b4_s256_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s256_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s256_t20.json
4,512,20,OK,261.614000,15.289702,265.139623,0.986703,-1.329723,270.464748,0.967276,-3.272422,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b4_s512_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b4_s512_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b4_s512_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s512_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s512_t20.json
8,128,20,OK,293.064000,27.297792,285.887293,1.025103,2.510327,295.318752,0.992365,-0.763498,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b8_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b8_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b8_s128_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s128_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s128_t20.json
8,256,20,OK,298.891000,26.765610,294.893250,1.013557,1.355660,300.805435,0.993636,-0.636436,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b8_s256_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b8_s256_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b8_s256_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s256_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s256_t20.json
8,512,20,OK,297.366000,26.902874,284.108917,1.046662,4.666197,325.719499,0.912951,-8.704882,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b8_s512_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b8_s512_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b8_s512_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s512_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s512_t20.json
16,128,20,OK,363.991000,43.957131,370.513294,0.982397,-1.760340,356.732688,1.020347,2.034664,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b16_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b16_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b16_s128_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s128_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s128_t20.json
