file,batch,seq,tokens,routing_backend,routing_update_mode,routing_table_version,routing_poll_count,decode_tpot_ms,compute_ratio,total_ep_dispatch_ms,total_ep_dispatch_bytes,total_ep_dispatch_gib,dispatch_effective_gib_s,total_ep_reduce_ms,total_ep_reduce_bytes,total_ep_reduce_gib,reduce_effective_gib_s,total_ep_overlap_hidden_ms
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b128_s128_t20.json,128,128,20,coordinator,oneshot,1,0,886.326626,0.569303,228.348477,25657344,0.023895,0.104644,149.066558,25165824,0.023438,0.157228,140.114704
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b128_s256_t20.json,128,256,20,coordinator,oneshot,1,0,846.867933,0.556331,217.622920,25657344,0.023895,0.109801,148.459576,25165824,0.023438,0.157871,138.725539
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b128_s512_t20.json,128,512,20,coordinator,oneshot,1,0,913.159501,0.498476,244.555700,25657344,0.023895,0.097709,139.358867,25165824,0.023438,0.168181,130.325611
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b16_s128_t20.json,16,128,20,coordinator,oneshot,1,0,363.989601,0.500356,184.882884,3207168,0.002987,0.016156,101.393974,3145728,0.002930,0.028894,92.392352
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b16_s256_t20.json,16,256,20,coordinator,oneshot,1,0,369.615436,0.507723,184.617932,3207168,0.002987,0.016179,119.280903,3145728,0.002930,0.024561,109.350300
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b16_s512_t20.json,16,512,20,coordinator,oneshot,1,0,349.958770,0.505681,167.639961,3207168,0.002987,0.017817,105.299298,3145728,0.002930,0.027822,96.215616
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b256_s128_t20.json,256,128,20,coordinator,oneshot,1,0,1309.063027,0.558383,270.474671,51314688,0.047791,0.176691,162.455324,50331648,0.046875,0.288541,152.998571
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b256_s256_t20.json,256,256,20,coordinator,oneshot,1,0,1369.710174,0.531589,297.322910,51314688,0.047791,0.160736,173.599769,50331648,0.046875,0.270018,163.793091
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b256_s512_t20.json,256,512,20,coordinator,oneshot,1,0,1432.877112,0.458921,312.792170,51314688,0.047791,0.152787,156.375345,50331648,0.046875,0.299760,147.173323
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b2_s128_t20.json,2,128,20,coordinator,oneshot,1,0,227.025345,0.396369,139.678565,400896,0.000373,0.002673,73.272127,393216,0.000366,0.004998,64.367207
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b2_s256_t20.json,2,256,20,coordinator,oneshot,1,0,224.198136,0.364349,141.078754,400896,0.000373,0.002646,69.815628,393216,0.000366,0.005245,60.756586
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b2_s512_t20.json,2,512,20,coordinator,oneshot,1,0,230.248036,0.378366,149.625605,400896,0.000373,0.002495,76.726118,393216,0.000366,0.004773,63.838017
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b32_s128_t20.json,32,128,20,coordinator,oneshot,1,0,457.762119,0.502587,165.225131,6414336,0.005974,0.036156,112.170679,6291456,0.005859,0.052236,103.709648
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b32_s256_t20.json,32,256,20,coordinator,oneshot,1,0,447.337018,0.545564,192.758728,6414336,0.005974,0.030991,119.302956,6291456,0.005859,0.049113,109.439709
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b32_s512_t20.json,32,512,20,coordinator,oneshot,1,0,460.368135,0.576077,199.946912,6414336,0.005974,0.029877,135.831663,6291456,0.005859,0.043137,125.345226
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b4_s128_t20.json,4,128,20,coordinator,oneshot,1,0,259.724121,0.412904,143.970347,801792,0.000747,0.005187,74.504549,786432,0.000732,0.009831,66.192429
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b4_s256_t20.json,4,256,20,coordinator,oneshot,1,0,253.542100,0.422924,134.246434,801792,0.000747,0.005562,71.170839,786432,0.000732,0.010291,63.317040
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b4_s512_t20.json,4,512,20,coordinator,oneshot,1,0,261.611280,0.432215,148.757347,801792,0.000747,0.005020,84.470561,786432,0.000732,0.008671,75.785232
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b64_s128_t20.json,64,128,20,coordinator,oneshot,1,0,629.825067,0.545348,193.612202,12828672,0.011948,0.061709,133.258020,12582912,0.011719,0.087940,124.356776
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b64_s256_t20.json,64,256,20,coordinator,oneshot,1,0,611.958647,0.549953,211.314975,12828672,0.011948,0.056539,131.415844,12582912,0.011719,0.089173,122.254891
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b64_s512_t20.json,64,512,20,coordinator,oneshot,1,0,627.108613,0.510506,193.080873,12828672,0.011948,0.061879,118.614983,12582912,0.011719,0.098797,110.276256
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b8_s128_t20.json,8,128,20,coordinator,oneshot,1,0,293.061126,0.462201,158.998524,1603584,0.001493,0.009393,96.897159,1572864,0.001465,0.015118,87.714535
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b8_s256_t20.json,8,256,20,coordinator,oneshot,1,0,298.888584,0.456161,159.726748,1603584,0.001493,0.009350,95.258725,1572864,0.001465,0.015378,85.256921
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_coordinator_xhost_coord_matrix_b8_s512_t20.json,8,512,20,coordinator,oneshot,1,0,297.364469,0.451974,154.775240,1603584,0.001493,0.009649,82.877791,1572864,0.001465,0.017675,74.679522
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b128_s128_t20.json,128,128,20,coordinator,oneshot,1,0,886.319467,0.926445,335.786508,25657344,0.023895,0.071162,128.874039,25165824,0.023438,0.181864,120.312486
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b128_s256_t20.json,128,256,20,coordinator,oneshot,1,0,846.870573,0.917331,326.340789,25657344,0.023895,0.073222,125.600393,25165824,0.023438,0.186604,115.928901
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b128_s512_t20.json,128,512,20,coordinator,oneshot,1,0,913.159481,0.925190,356.981314,25657344,0.023895,0.066937,145.693681,25165824,0.023438,0.160868,136.151909
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b16_s128_t20.json,16,128,20,coordinator,oneshot,1,0,363.988006,0.906557,277.933613,3207168,0.002987,0.010747,88.296631,3145728,0.002930,0.033180,79.943335
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b16_s256_t20.json,16,256,20,coordinator,oneshot,1,0,369.614202,0.899684,273.891233,3207168,0.002987,0.010905,108.673152,3145728,0.002930,0.026959,98.855280
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b16_s512_t20.json,16,512,20,coordinator,oneshot,1,0,349.954358,0.899815,251.751058,3207168,0.002987,0.011865,93.939555,3145728,0.002930,0.031187,85.471045
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b256_s128_t20.json,256,128,20,coordinator,oneshot,1,0,1309.063562,0.935139,397.602097,51314688,0.047791,0.120197,139.963850,50331648,0.046875,0.334908,131.101251
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b256_s256_t20.json,256,256,20,coordinator,oneshot,1,0,1369.707652,0.929947,419.019525,51314688,0.047791,0.114053,177.707547,50331648,0.046875,0.263776,166.564566
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b256_s512_t20.json,256,512,20,coordinator,oneshot,1,0,1432.875980,0.944105,472.291079,51314688,0.047791,0.101189,152.261538,50331648,0.046875,0.307858,143.512037
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b2_s128_t20.json,2,128,20,coordinator,oneshot,1,0,227.025876,0.867776,200.766683,400896,0.000373,0.001860,86.110166,393216,0.000366,0.004253,76.048473
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b2_s256_t20.json,2,256,20,coordinator,oneshot,1,0,224.196960,0.878747,207.167305,400896,0.000373,0.001802,82.448137,393216,0.000366,0.004442,74.129016
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b2_s512_t20.json,2,512,20,coordinator,oneshot,1,0,230.247282,0.887602,216.258726,400896,0.000373,0.001726,78.879221,393216,0.000366,0.004643,70.956939
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b32_s128_t20.json,32,128,20,coordinator,oneshot,1,0,457.759471,0.891707,238.018224,6414336,0.005974,0.025098,115.156520,6291456,0.005859,0.050882,105.115086
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b32_s256_t20.json,32,256,20,coordinator,oneshot,1,0,447.334316,0.903720,284.047852,6414336,0.005974,0.021031,102.876395,6291456,0.005859,0.056955,93.642722
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b32_s512_t20.json,32,512,20,coordinator,oneshot,1,0,460.364867,0.901774,290.650782,6414336,0.005974,0.020553,117.146747,6291456,0.005859,0.050017,106.260091
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b4_s128_t20.json,4,128,20,coordinator,oneshot,1,0,259.724509,0.855893,210.324536,801792,0.000747,0.003550,82.827366,786432,0.000732,0.008843,72.049990
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b4_s256_t20.json,4,256,20,coordinator,oneshot,1,0,253.540685,0.864468,196.409734,801792,0.000747,0.003802,79.989054,786432,0.000732,0.009157,70.580017
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b4_s512_t20.json,4,512,20,coordinator,oneshot,1,0,261.611545,0.882193,226.586535,801792,0.000747,0.003296,83.144773,786432,0.000732,0.008809,73.847016
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b64_s128_t20.json,64,128,20,coordinator,oneshot,1,0,629.822091,0.910803,279.529130,12828672,0.011948,0.042742,136.535903,12582912,0.011719,0.085829,127.275066
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b64_s256_t20.json,64,256,20,coordinator,oneshot,1,0,611.963192,0.908031,303.187360,12828672,0.011948,0.039407,126.600028,12582912,0.011719,0.092565,116.227253
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b64_s512_t20.json,64,512,20,coordinator,oneshot,1,0,627.111590,0.904533,275.308858,12828672,0.011948,0.043397,126.351007,12582912,0.011719,0.092748,116.289541
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b8_s128_t20.json,8,128,20,coordinator,oneshot,1,0,293.061529,0.891449,239.071855,1603584,0.001493,0.006247,92.991518,1572864,0.001465,0.015752,83.887556
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b8_s256_t20.json,8,256,20,coordinator,oneshot,1,0,298.876910,0.886540,239.945805,1603584,0.001493,0.006224,89.161105,1572864,0.001465,0.016429,79.799784
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r2_xhost_coord_matrix_b8_s512_t20.json,8,512,20,coordinator,oneshot,1,0,297.362327,0.879589,223.473589,1603584,0.001493,0.006683,90.122004,1572864,0.001465,0.016254,80.401799
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r3_xhost_coord_matrix_b128_s128_t20.json,128,128,20,coordinator,oneshot,1,0,886.323814,0.924700,345.797585,25657344,0.023895,0.069102,117.969638,25165824,0.023438,0.198674,109.250418
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r3_xhost_coord_matrix_b128_s256_t20.json,128,256,20,coordinator,oneshot,1,0,846.865899,0.919150,330.557994,25657344,0.023895,0.072288,119.632268,25165824,0.023438,0.195913,110.748288
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r3_xhost_coord_matrix_b128_s512_t20.json,128,512,20,coordinator,oneshot,1,0,913.157278,0.925332,367.971572,25657344,0.023895,0.064938,134.358331,25165824,0.023438,0.174440,124.957653
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r3_xhost_coord_matrix_b16_s128_t20.json,16,128,20,coordinator,oneshot,1,0,363.987427,0.902415,270.303422,3207168,0.002987,0.011050,97.081205,3145728,0.002930,0.030178,88.229242
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r3_xhost_coord_matrix_b16_s256_t20.json,16,256,20,coordinator,oneshot,1,0,369.614896,0.902737,283.043800,3207168,0.002987,0.010553,99.195463,3145728,0.002930,0.029534,89.886719
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r3_xhost_coord_matrix_b16_s512_t20.json,16,512,20,coordinator,oneshot,1,0,349.952757,0.884617,239.286163,3207168,0.002987,0.012483,109.334050,3145728,0.002930,0.026796,98.723225
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r3_xhost_coord_matrix_b256_s128_t20.json,256,128,20,coordinator,oneshot,1,0,1309.062126,0.925713,389.626520,51314688,0.047791,0.122657,149.787658,50331648,0.046875,0.312943,139.179147
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r3_xhost_coord_matrix_b256_s256_t20.json,256,256,20,coordinator,oneshot,1,0,1369.712060,0.939429,446.919210,51314688,0.047791,0.106933,146.848900,50331648,0.046875,0.319206,137.838380
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r3_xhost_coord_matrix_b256_s512_t20.json,256,512,20,coordinator,oneshot,1,0,1432.876018,0.942180,465.880895,51314688,0.047791,0.102581,158.471340,50331648,0.046875,0.295795,149.434867
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r3_xhost_coord_matrix_b2_s128_t20.json,2,128,20,coordinator,oneshot,1,0,227.024342,0.870002,217.820123,400896,0.000373,0.001714,67.483740,393216,0.000366,0.005427,58.302054
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r3_xhost_coord_matrix_b2_s256_t20.json,2,256,20,coordinator,oneshot,1,0,224.188935,0.865081,207.383223,400896,0.000373,0.001800,84.787689,393216,0.000366,0.004319,74.692105
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r3_xhost_coord_matrix_b2_s512_t20.json,2,512,20,coordinator,oneshot,1,0,230.248059,0.872692,214.727842,400896,0.000373,0.001739,82.512293,393216,0.000366,0.004438,72.859378
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r3_xhost_coord_matrix_b32_s128_t20.json,32,128,20,coordinator,oneshot,1,0,457.761203,0.899033,252.610698,6414336,0.005974,0.023648,99.835500,6291456,0.005859,0.058690,90.642069
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r3_xhost_coord_matrix_b32_s256_t20.json,32,256,20,coordinator,oneshot,1,0,447.336099,0.887790,271.015945,6414336,0.005974,0.022042,119.818708,6291456,0.005859,0.048902,107.910900
