batch,seq,tokens,status,detail,decode_tpot_ms,host2_free_gb_before,host2_free_gb_after,h1_rank0_log,h2_rank1_log,h2_rank7_log
2,128,20,OK,,227.026,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b2_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b2_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b2_s128_t20/h2_rank7.log
2,256,20,OK,,224.198,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b2_s256_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b2_s256_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b2_s256_t20/h2_rank7.log
2,512,20,OK,,230.250,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b2_s512_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b2_s512_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b2_s512_t20/h2_rank7.log
4,128,20,OK,,259.725,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b4_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b4_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b4_s128_t20/h2_rank7.log
4,256,20,OK,,253.542,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b4_s256_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b4_s256_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b4_s256_t20/h2_rank7.log
4,512,20,OK,,261.614,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b4_s512_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b4_s512_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b4_s512_t20/h2_rank7.log
8,128,20,OK,,293.064,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b8_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b8_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b8_s128_t20/h2_rank7.log
8,256,20,OK,,298.891,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b8_s256_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b8_s256_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b8_s256_t20/h2_rank7.log
8,512,20,OK,,297.366,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b8_s512_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b8_s512_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b8_s512_t20/h2_rank7.log
16,128,20,OK,,363.991,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b16_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b16_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b16_s128_t20/h2_rank7.log
16,256,20,OK,,369.615,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b16_s256_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b16_s256_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b16_s256_t20/h2_rank7.log
