batch,seq,tokens,static_status,coord_status,static_tpot_ms,coord_tpot_ms,coord_vs_static_tpot_ratio,coord_vs_static_tpot_delta_pct,static_throughput_tok_s,coord_throughput_tok_s,coord_vs_static_throughput_ratio,coord_vs_static_throughput_delta_pct,static_prefill_ms,coord_prefill_ms,static_decode_loop_ms,coord_decode_loop_ms,static_tbt_mean_ms,coord_tbt_mean_ms,static_tbt_p50_ms,coord_tbt_p50_ms,static_tbt_p99_ms,coord_tbt_p99_ms,coord_routing_backend,coord_routing_update_mode,coord_routing_table_version,coord_routing_poll_count,static_total_ep_dispatch_ms,coord_total_ep_dispatch_ms,static_total_ep_local_experts_ms,coord_total_ep_local_experts_ms,static_total_ep_reduce_ms,coord_total_ep_reduce_ms,static_total_ep_overlap_hidden_ms,coord_total_ep_overlap_hidden_ms,static_attn_timing,static_ffn_timing,coord_attn_timing,coord_ffn_timing
2,128,20,ok,ok,226.392093,215.970056,0.953965,-4.603534,8.834231,9.260543,1.048257,4.825686,2321.980678,2695.510518,4301.449768,4103.431068,,215.228656,,209.273444,,296.240703,coordinator,oneshot,1,,129.460964,132.630503,94.405616,90.096981,68.611329,67.805522,59.409916,58.759214,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s128_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s128_t20.json
4,128,20,ok,ok,255.438195,264.324701,1.034789,3.478926,15.659365,15.132903,0.966380,-3.361966,2325.995324,2726.416270,4853.325700,5022.169311,,263.539883,,261.504614,,327.071968,coordinator,oneshot,1,,149.974402,143.306873,119.695909,113.260056,80.253990,80.259658,71.318462,71.229067,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s128_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s128_t20.json
8,128,20,ok,ok,295.318752,285.887293,0.968063,-3.193654,27.089374,27.983056,1.032990,3.299013,2349.781629,2666.839806,5611.056292,5431.858571,,285.067456,,285.000908,,329.118904,coordinator,oneshot,1,,150.654880,140.094187,144.722410,100.798308,98.933304,73.421554,89.554453,64.030109,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s128_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s128_t20.json
16,128,20,ok,ok,356.732688,370.513294,1.038630,3.863006,44.851511,43.183336,0.962807,-3.719328,2528.159883,2789.532531,6777.921071,7039.752594,,369.730288,,365.165663,,432.006854,coordinator,oneshot,1,,160.702100,189.824418,164.366100,183.172557,105.257083,116.291113,96.396968,106.166380,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s128_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s128_t20.json
32,128,20,ok,ok,442.990334,446.496012,1.007914,0.791367,72.236339,71.669173,0.992148,-0.785153,3253.662078,3512.684353,8416.816346,8483.424232,,445.698975,,447.118230,,482.710880,coordinator,oneshot,1,,168.657731,185.516412,173.156392,193.740405,105.831031,116.661127,97.239988,107.937232,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s128_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s128_t20.json
64,128,20,ok,ok,605.714570,619.246905,1.022341,2.234111,105.660328,103.351344,0.978147,-2.185289,3441.139312,4061.280997,11508.576825,11765.691190,,618.455764,,632.223572,,653.444502,coordinator,oneshot,1,,191.526784,185.055006,208.724715,208.048866,122.209299,136.824697,113.738922,128.263579,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s128_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s128_t20.json
128,128,20,ok,ok,884.871427,906.979717,1.024985,2.498475,144.653784,141.127743,0.975624,-2.437573,3889.562152,4781.634481,16812.557112,17232.614622,,906.026841,,920.315184,,1051.195742,coordinator,oneshot,1,,225.039305,243.448991,246.841587,278.468609,142.425660,169.048225,133.018848,159.020108,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s128_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s128_t20.json
256,128,20,ok,ok,1334.052752,1358.722524,1.018492,1.849235,191.896460,188.412274,0.981843,-1.815659,4899.702311,6171.046718,25347.002281,25815.727965,,1357.839138,,1323.145625,,1843.167060,coordinator,oneshot,1,,260.105660,265.999551,284.768347,279.463083,161.885627,158.488856,152.347049,149.398816,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s128_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s128_t20.json
2,256,20,ok,ok,230.786524,214.474098,0.929318,-7.068188,8.666017,9.325135,1.076058,7.605779,2321.599288,2567.455244,4384.943960,4075.007862,,213.750251,,207.758349,,289.280136,coordinator,oneshot,1,,130.087093,127.361216,98.276289,89.563736,67.463644,65.783442,59.118751,57.774631,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s256_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s256_t20.json
4,256,20,ok,ok,253.578399,251.270127,0.990897,-0.910279,15.774214,15.919123,1.009186,0.918642,2509.375095,2603.877862,4817.989580,4774.132409,,250.405254,,244.321061,,331.415333,coordinator,oneshot,1,,139.514456,145.017376,123.576729,113.988986,84.170137,80.078442,75.169319,70.920209,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s256_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s256_t20.json
