batch,seq,tokens,decode_tpot_ms,prefill_ms,total_time_ms,attn_compute_l0_mb0_ms,attn_compute_tail_mb0_median_ms,attn_compute_l0_mb0_ratio,send_transfer_l0_mb0_ms,send_transfer_tail_mb0_median_ms,send_transfer_l0_mb0_ratio,recv_wait_l0_mb0_ms,recv_wait_tail_mb0_median_ms,recv_wait_l0_mb0_ratio,max_l0_mb0_ratio,likely_l0_cold_start,file
128,128,20,906.979717,4781.634481,492.207602,1.816815,1.344651,1.351142,0.088410,0.060496,1.461419,10.913360,6.657035,1.639372,1.639372,False,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s128_t20.json
128,256,20,825.638178,6207.326336,460.833302,1.934216,1.410547,1.371252,0.093220,0.061006,1.528059,10.083273,5.708427,1.766384,1.766384,False,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s256_t20.json
128,512,20,901.613824,9136.192213,513.609137,2.082917,1.922745,1.083304,0.089601,0.065131,1.375715,10.907580,5.698992,1.913949,1.913949,False,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s512_t20.json
16,128,20,370.513294,2789.532531,364.355906,1.488982,1.010313,1.473783,0.081891,0.060375,1.356361,5.834718,4.687749,1.244674,1.473783,False,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s128_t20.json
16,256,20,333.356383,3626.762902,324.675194,1.526443,1.106104,1.380018,0.073621,0.070620,1.042494,4.422456,3.762436,1.175424,1.380018,False,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s256_t20.json
16,512,20,363.380599,3903.298792,350.498594,1.811574,1.052373,1.721417,0.108181,0.061750,1.751919,6.641264,4.414821,1.504311,1.751919,False,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s512_t20.json
256,128,20,1358.722524,6171.046718,525.024443,2.137498,1.768104,1.208921,0.081991,0.061371,1.335988,11.634056,6.454619,1.802439,1.802439,False,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s128_t20.json
256,256,20,1351.852475,9012.248809,544.508391,2.155988,2.031821,1.061111,0.078570,0.058270,1.348379,12.277291,6.377457,1.925108,1.925108,False,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s256_t20.json
256,512,20,1407.419185,15249.796361,633.253971,3.129915,2.975854,1.051770,0.103071,0.071576,1.440033,10.822519,5.772162,1.874951,1.874951,False,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s512_t20.json
2,128,20,215.970056,2695.510518,263.083497,1.445322,0.976993,1.479358,0.077321,0.056850,1.360090,3.426739,2.883323,1.188469,1.479358,False,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s128_t20.json
2,256,20,214.474098,2567.455244,255.203471,1.435192,0.973288,1.474581,0.097340,0.056016,1.737735,2.937125,2.811418,1.044713,1.737735,False,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s256_t20.json
2,512,20,234.565574,2672.175361,273.213529,1.476392,1.023093,1.443067,0.085031,0.062945,1.350877,3.496178,2.966444,1.178575,1.443067,False,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s512_t20.json
32,128,20,446.496012,3512.684353,365.545565,1.429442,1.005394,1.421773,0.071260,0.053636,1.328597,7.203059,4.846160,1.486344,1.486344,False,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s128_t20.json
