mode,batch,seq,tokens,preset,ffn_ep_backend,routing_backend,routing_update_mode,visible_chip_pool,active_world_size,status,tpot_ms,prefill_ms,total_time_ms,routing_table_version,routing_poll_count,routing_poll_ms,report,warmup_p2p,warmup_rounds,prefill_warmup_rounds,warmup_tag
decode-dbo,2,128,20,npu-ep7,broadcast_reduce_overlap,coordinator,oneshot,16,8,ok,215.970056,2695.510518,263.083497,1,0,0.000000,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s128_t20.md,false,5,auto,
decode-dbo,4,128,20,npu-ep7,broadcast_reduce_overlap,coordinator,oneshot,16,8,ok,264.324701,2726.416270,286.280648,1,0,0.000000,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s128_t20.md,false,5,auto,
decode-dbo,8,128,20,npu-ep7,broadcast_reduce_overlap,coordinator,oneshot,16,8,ok,285.887293,2666.839806,276.605148,1,0,0.000000,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s128_t20.md,false,5,auto,
decode-dbo,16,128,20,npu-ep7,broadcast_reduce_overlap,coordinator,oneshot,16,8,ok,370.513294,2789.532531,364.355906,1,0,0.000000,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s128_t20.md,false,5,auto,
decode-dbo,32,128,20,npu-ep7,broadcast_reduce_overlap,coordinator,oneshot,16,8,ok,446.496012,3512.684353,365.545565,1,0,0.000000,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s128_t20.md,false,5,auto,
decode-dbo,64,128,20,npu-ep7,broadcast_reduce_overlap,coordinator,oneshot,16,8,ok,619.246905,4061.280997,390.625693,1,0,0.000000,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s128_t20.md,false,5,auto,
decode-dbo,128,128,20,npu-ep7,broadcast_reduce_overlap,coordinator,oneshot,16,8,ok,906.979717,4781.634481,492.207602,1,0,0.000000,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s128_t20.md,false,5,auto,
decode-dbo,256,128,20,npu-ep7,broadcast_reduce_overlap,coordinator,oneshot,16,8,ok,1358.722524,6171.046718,525.024443,1,0,0.000000,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s128_t20.md,false,5,auto,
decode-dbo,2,256,20,npu-ep7,broadcast_reduce_overlap,coordinator,oneshot,16,8,ok,214.474098,2567.455244,255.203471,1,0,0.000000,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s256_t20.md,false,5,auto,
decode-dbo,4,256,20,npu-ep7,broadcast_reduce_overlap,coordinator,oneshot,16,8,ok,251.270127,2603.877862,288.669547,1,0,0.000000,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s256_t20.md,false,5,auto,
