mode,batch,seq,tokens,preset,ffn_ep_backend,active_world_size,status,serial_tpot_ms,ep7_tpot_ms,speedup_vs_serial,delta_tpot_ms,serial_prefill_ms,ep7_prefill_ms,decode_loop_ms,decode_steps,attn_step_total_ms,ffn_step_total_ms,attn_compute_ms_per_event,ffn_compute_ms_per_event,attn_ffn_compute_ratio,attn_recv_wait_ms_per_event,ffn_recv_wait_ms_per_event,a2f_send_enqueue_ms_per_event,f2a_send_enqueue_ms_per_event,ep_dispatch_ms_per_event,ep_local_experts_ms_per_event,ep_reduce_ms_per_event,ep_dispatch_wait_ms_per_event,ep_reduce_wait_ms_per_event,ep_overlap_hidden_ms_per_event,total_ep_dispatch_ms,total_ep_local_experts_ms,total_ep_reduce_ms,total_ep_overlap_hidden_ms,pipeline_png,report
decode-dbo,8,128,20,npu-ep7,broadcast_reduce_overlap,8,ok,331.68132260049646,383.28851641793,0.8653567962334616,51.60719381743354,1754.0596071630716,2573.165852576494,7282.48181194067,19,353.21562737226486,352.87497378885746,1.0061160403680294,1.808913583134083,0.5561990632105572,2.2598050059156214,0.4866160650519615,0.06460776909234676,0.04981374962532774,1.740717943361465,1.6814098356569067,1.0376370492133689,0.010143608805981088,0.010229092329106432,0.9449232924491802,168.02030988037586,164.01631012558937,101.3545598834753,92.45685860514641,results_npu/ep7_matrix/pipeline/pipeline_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s128_t20.png,results_npu/ep7_matrix/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s128_t20.md
decode-dbo,16,128,20,npu-ep7,broadcast_reduce_overlap,8,ok,482.92894651623146,484.32227380965884,0.9971231401717962,1.393327293427376,1860.9416354447603,2736.846189945936,9202.123202383518,19,361.6719953715801,361.3531906157732,1.098387953924372,1.9547706271739715,0.5619011963118766,2.2206258900622102,0.7671151270574712,0.07108818898175626,0.04860685464549572,1.9060661818118805,1.827580913742806,1.041999582121981,0.010067438508601898,0.01052018017210859,0.9495912595315182,184.4711620360613,176.68865248560905,100.11129640042782,91.23779274523258,results_npu/ep7_matrix/pipeline/pipeline_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s128_t20.png,results_npu/ep7_matrix/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s128_t20.md
decode-dbo,32,128,20,npu-ep7,broadcast_reduce_overlap,8,ok,608.1194164917657,616.2930784845039,0.986737378240824,8.173661992738175,1834.464157000184,3504.975715652108,11709.568491205573,19,445.49909606575966,445.18470391631126,1.075722039379972,2.751664793554773,0.39093498666684867,3.184016060797458,0.5526939565513996,0.06292449270791196,0.05542494832201207,2.139715735424072,2.610691783434533,1.5792150763755148,0.010660908957745166,0.010587453366594111,1.4840632954493482,206.58156275749207,252.44235433638096,152.51867100596428,143.33599992096424,results_npu/ep7_matrix/pipeline/pipeline_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s128_t20.png,results_npu/ep7_matrix/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s128_t20.md
decode-dbo,64,128,20,npu-ep7,broadcast_reduce_overlap,8,ok,727.7365362173632,806.0175045148322,0.9028793197927024,78.28096829746903,1886.973412707448,3822.771953418851,15314.332585781813,19,459.3156147748232,459.0272419154644,1.1219655143770766,2.728785269279429,0.41115932682872697,3.2873261680311345,0.5803147846079887,0.06139046571990277,0.041075367876823914,2.0803738425069667,2.613829845126639,1.5905279111354909,0.009205925496334725,0.010175689896370502,1.5061625893762771,201.13595575094223,254.16503101587296,154.65730614960194,146.54246903955936,results_npu/ep7_matrix/pipeline/pipeline_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s128_t20.png,results_npu/ep7_matrix/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s128_t20.md
decode-dbo,128,128,20,npu-ep7,broadcast_reduce_overlap,8,ok,943.1965879507756,1088.9792244293187,0.866129092999969,145.78263647854317,1899.8658526688814,4363.232051953673,20690.605264157057,19,510.9092779457569,510.645966976881,1.3999802040609908,3.1563351525271193,0.4435461180160468,3.4986845752660263,0.9008604993528508,0.06236686827020442,0.04194950328228322,2.4775454100776226,3.0356808664633874,1.7855524461954198,0.00919641411684929,0.009954946630812705,1.6946003356195511,239.99259248375893,296.4357379823923,174.4462437927723,165.70247896015644,results_npu/ep7_matrix/pipeline/pipeline_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s128_t20.png,results_npu/ep7_matrix/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s128_t20.md
decode-dbo,256,128,20,npu-ep7,broadcast_reduce_overlap,8,ok,1551.1346831917763,1655.1958624469607,0.9371305948642564,104.06117925518447,2145.0971234589815,5057.019205763936,31448.721386492252,19,611.3472618162632,611.0772881656885,1.7545335192946678,3.614633324298453,0.48539737281241296,4.1722373323554685,1.0175820479684687,0.06569236358429523,0.04384002866263085,2.8854079663436463,3.488874043080401,2.0044545266539493,0.010119414234415014,0.010578457186830805,1.9132874787170837,280.76011314988136,340.6996373087168,194.67627443373203,185.9130524098873,results_npu/ep7_matrix/pipeline/pipeline_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s128_t20.png,results_npu/ep7_matrix/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s128_t20.md
decode-dbo,8,256,20,npu-ep7,broadcast_reduce_overlap,8,ok,356.93719532144695,366.5991727458803,0.9736443010712115,9.66197742443336,1884.35117341578,2715.9383352845907,6965.384282171726,19,300.012381747365,299.65560883283615,1.008939354660663,1.4390486906817619,0.7011155085952437,1.7817767059549372,0.5653107618080809,0.06363481441710858,0.04256633605728758,1.4716269091722813,1.3200622646415487,0.8725351356762521,0.009601044052458823,0.010472147705707145,0.7843394823213841,141.45436324179173,126.58824399113655,83.6627371609211,75.20712167024612,results_npu/ep7_matrix/pipeline/pipeline_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s256_t20.png,results_npu/ep7_matrix/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s256_t20.md
decode-dbo,16,256,20,npu-ep7,broadcast_reduce_overlap,8,ok,502.9900684756668,462.31496138008015,1.0879813774015994,-40.67510709558667,1828.4256160259247,3352.8342861682177,8783.984266221523,19,383.83165560662746,383.52550379931927,1.014165223595944,2.2226382403614675,0.45628892960602097,2.5737001659705285,0.605934794912947,0.06601785091643637,0.04080776125192642,1.872552420072099,2.1020298268883786,1.2673339311112748,0.009452626901738186,0.010268841969205978,1.1757376227290073,182.4035793542862,205.76376654207706,123.19095246493816,114.374915137887,results_npu/ep7_matrix/pipeline/pipeline_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s256_t20.png,results_npu/ep7_matrix/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s256_t20.md
decode-dbo,32,256,20,npu-ep7,broadcast_reduce_overlap,8,ok,562.793789039317,567.0939798613912,0.9924171460555351,4.300190822074228,1834.7359336912632,3850.401099771261,10774.785617366433,19,398.04344810545444,397.7689538151026,1.0473889278921675,2.3364049402323177,0.4482908377124137,2.734652799653246,0.5986635632654453,0.06126198283535369,0.04570544796421173,2.004653512638934,2.2089396345805614,1.2636966210730531,0.009980389570936244,0.010883693206817546,1.1700981474937278,193.6933472752571,213.73732946813107,121.95125594735146,112.96172998845577,results_npu/ep7_matrix/pipeline/pipeline_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s256_t20.png,results_npu/ep7_matrix/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s256_t20.md
decode-dbo,64,256,20,npu-ep7,broadcast_reduce_overlap,8,ok,778.5013385705257,772.3506144002864,1.0079636424902896,-6.1507241702393,1826.1607084423304,4084.274983033538,14674.661673605442,19,463.0138371139765,462.7460930496454,1.178120361997726,2.7679200581413634,0.4256338106776193,3.226853253200967,0.7212009637596759,0.06488938518661133,0.05149379610381228,2.1888717731579823,2.6337127894797225,1.6032686615560918,0.009414640829918232,0.011061873049178023,1.5011782698491787,213.07903341948986,258.021954447031,156.41732327640057,146.604111418128,results_npu/ep7_matrix/pipeline/pipeline_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s256_t20.png,results_npu/ep7_matrix/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s256_t20.md
decode-dbo,128,256,20,npu-ep7,broadcast_reduce_overlap,8,ok,1019.6008853810398,1175.7000848454863,0.867228724845281,156.09919946444654,1934.6787482500076,5109.084255993366,22338.301612064242,19,594.4962706416845,594.1951479762793,1.4052946477177295,3.8471346166222653,0.3652834610065088,4.340641081650206,0.8426579904366047,0.06579855417317533,0.05072073892075965,2.7301465260221605,3.7099119632485067,2.314570993977658,0.010832430834465839,0.011261750725989646,2.2093735714542104,264.44814540445805,361.6583067923784,225.46960599720478,215.3643872588873,results_npu/ep7_matrix/pipeline/pipeline_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s256_t20.png,results_npu/ep7_matrix/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s256_t20.md
decode-dbo,256,256,20,npu-ep7,broadcast_reduce_overlap,8,ok,1501.0622774103754,1606.8045571446419,0.9341909510624149,105.7422797342665,2071.6001205146313,6971.081472933292,30529.286585748196,19,639.2271798104048,638.9528587460518,2.1347196257494865,3.660487308305629,0.5831790813495835,4.039174837476396,1.50742871250878,0.06365881083493537,0.0392383836368297,3.1242162147735026,3.539030360890196,2.03677209371582,0.009974742189366767,0.01024833305719051,1.9513695560237194,304.0117770433426,348.1472358107567,199.64716024696827,191.44246354699135,results_npu/ep7_matrix/pipeline/pipeline_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s256_t20.png,results_npu/ep7_matrix/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s256_t20.md
decode-dbo,8,512,20,npu-ep7,broadcast_reduce_overlap,8,ok,351.48431174457073,362.4325863232738,0.9697922455324209,10.948274578703092,1925.619026646018,3364.339353516698,6886.219140142202,19,335.26618778705597,335.0018970668316,0.974718857794366,1.7422321153447984,0.5594655552549398,2.109962099410118,0.5145344605788271,0.06012065692784938,0.044202174436538774,1.6689621348013268,1.6223290301066764,0.9684089690129808,0.009279242379868284,0.010301259920952167,0.8808448118098239,161.15042567253113,158.10243040323257,94.55865994095802,86.13542839884758,results_npu/ep7_matrix/pipeline/pipeline_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s512_t20.png,results_npu/ep7_matrix/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s512_t20.md
decode-dbo,16,512,20,npu-ep7,broadcast_reduce_overlap,8,ok,502.89864436184104,476.40427398054226,1.0556132088403154,-26.49437038129878,1827.0065654069185,3546.149844303727,9051.681205630302,19,364.0186917036772,363.7426905333996,1.0266512672000743,1.9339929394265438,0.5308454060357071,2.348662948513285,0.6242257919400296,0.0661883423937128,0.041769579687017076,1.8080351676078552,1.818187950931965,1.0556449836238901,0.009390466073726086,0.01008919578917483,0.967331349532655,174.25921186804771,177.31411568820477,103.58933173120022,95.0927846133709,results_npu/ep7_matrix/pipeline/pipeline_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s512_t20.png,results_npu/ep7_matrix/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s512_t20.md
decode-dbo,32,512,20,npu-ep7,broadcast_reduce_overlap,8,ok,567.0475996050395,588.7492577496328,0.9631393876783079,21.70165814459324,1811.7517735809088,4063.767084851861,11186.235897243023,19,397.4795751273632,397.1736393868923,1.0585920845574521,2.241645444263803,0.472238857963157,2.6567711475047657,0.594522328452861,0.06369420109277076,0.04013758549030791,1.838910809539734,2.1251681201318475,1.3376936276859426,0.009651117502374853,0.010191562010886822,1.24960434325832,179.84941229224205,209.18051712214947,130.4912008345127,122.04299308359623,results_npu/ep7_matrix/pipeline/pipeline_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s512_t20.png,results_npu/ep7_matrix/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s512_t20.md
