batch,seq,tokens,serial_tpot_ms,dbo_tpot_ms,speedup
8,128,20,331.681,307.224,1.08
16,128,20,482.929,346.378,1.394
32,128,20,608.119,427.779,1.422
64,128,20,727.737,634.106,1.148
128,128,20,943.197,891.936,1.057
256,128,20,1551.135,1331.832,1.165
8,256,20,356.937,299.916,1.19
16,256,20,502.99,341.441,1.473
32,256,20,562.794,452.777,1.243
64,256,20,778.501,624.058,1.247
128,256,20,1019.601,842.51,1.21
256,256,20,1501.062,1366.45,1.099
8,512,20,351.484,294.211,1.195
16,512,20,502.899,351.15,1.432
32,512,20,567.048,448.572,1.264
64,512,20,787.877,624.551,1.262
128,512,20,993.801,912.056,1.09
256,512,20,1497.96,1449.435,1.033
8,1024,20,332.902,311.633,1.068
16,1024,20,476.025,358.636,1.327
32,1024,20,614.067,464.918,1.321
64,1024,20,825.4,682.01,1.21
128,1024,20,982.756,997.789,0.985
256,1024,20,1543.601,1649.266,0.936
