active_experts,batch,device,dtype,latency_median_ms,layer,max_abs_error,max_rel_error,mean_abs_error,mean_rel_error,permuted_tokens,probe,seq,shape_label,status,tokens,topk_mismatch_rate
,32,npu:0,bfloat16,4.615796729922295,24,0.0,0.0,0.0,0.0,,hf_experts,1,decode,ok,32,
,32,npu:0,bfloat16,0.19839219748973846,24,0.0009765625,0.008230452425777912,0.0002307891845703125,0.001858264789916575,,router_topk,1,decode,ok,32,0.0
,32,npu:0,bfloat16,0.25469250977039337,24,0.0,0.0,0.0,0.0,256,token_permute_roundtrip,1,decode,ok,32,
106,32,npu:0,bfloat16,50.9326234459877,24,0.0078125,244.140625,0.0005285530351102352,0.020966924726963043,,grouped_experts,1,decode,ok,32,
,64,npu:0,bfloat16,4.8280879855155945,24,0.0,0.0,0.0,0.0,,hf_experts,1,decode,ok,64,
,64,npu:0,bfloat16,0.10016001760959625,24,0.001953125,0.0078125,0.00020551681518554688,0.0017179760616272688,,router_topk,1,decode,ok,64,0.0
,64,npu:0,bfloat16,0.19920989871025085,24,0.0,0.0,0.0,0.0,512,token_permute_roundtrip,1,decode,ok,64,
118,64,npu:0,bfloat16,53.79102751612663,24,0.0078125,976.5625,0.0005202157772146165,0.03063279017806053,,grouped_experts,1,decode,ok,64,
,128,npu:0,bfloat16,5.166852846741676,24,0.0,0.0,0.0,0.0,,hf_experts,1,decode,ok,128,
,128,npu:0,bfloat16,0.09995140135288239,24,0.001953125,0.009389671497046947,0.0002262592315673828,0.0018444808665663004,,router_topk,1,decode,ok,128,0.0
,128,npu:0,bfloat16,0.20055100321769714,24,0.0,0.0,0.0,0.0,1024,token_permute_roundtrip,1,decode,ok,128,
127,128,npu:0,bfloat16,57.54000321030617,24,0.01171875,732.421875,0.0005098175024613738,0.02564077638089657,,grouped_experts,1,decode,ok,128,
,16,npu:0,bfloat16,19.07069981098175,24,0.0,0.0,0.0,0.0,,hf_experts,512,prefill,ok,8192,
,16,npu:0,bfloat16,0.12033060193061829,24,0.00390625,0.010810811072587967,0.00021834857761859894,0.0017740636831149459,,router_topk,512,prefill,ok,8192,0.0
,16,npu:0,bfloat16,0.8716676384210587,24,0.03125,0.0078125,5.400406735134311e-07,6.643224423896754e-07,65536,token_permute_roundtrip,512,prefill,ok,8192,
128,16,npu:0,bfloat16,112.42106929421425,24,0.03125,2929.6875,0.0005160183645784855,0.033479511737823486,,grouped_experts,512,prefill,ok,8192,
,32,npu:0,bfloat16,34.74525548517704,24,0.0,0.0,0.0,0.0,,hf_experts,512,prefill,ok,16384,
,32,npu:0,bfloat16,0.1513119786977768,24,0.00390625,0.013513513840734959,0.0002189958468079567,0.0017775690648704767,,router_topk,512,prefill,ok,16384,0.0
,32,npu:0,bfloat16,1.5277117490768433,24,0.03125,0.0078125,2.113226003075397e-07,2.6060155278173625e-07,131072,token_permute_roundtrip,512,prefill,ok,16384,
128,32,npu:0,bfloat16,170.1295766979456,24,0.03125,2929.6875,0.0005166978226043284,0.03473445400595665,,grouped_experts,512,prefill,ok,16384,
