batch_size,seq,TTFT_ms,TPOT_ms,prefill_throughput,decode_throughput
2,128,4489.56,223.6,0.4,8.9
4,128,4297.31,242.55,0.9,16.5
8,128,4303.64,270.01,1.9,29.6
16,128,4424.06,315.3,3.6,50.7
32,128,5832.31,368.87,5.5,86.8
64,128,6555.24,509.58,9.8,125.6
128,128,7099.34,715.21,18.0,179.0
256,128,8819.38,1113.99,29.0,229.8
2,256,4710.56,215.45,0.4,9.3
4,256,4327.35,240.31,0.9,16.6
8,256,4368.1,279.91,1.8,28.6
16,256,5937.2,311.94,2.7,51.3
32,256,6550.79,384.36,4.9,83.3
64,256,7493.07,507.99,8.5,126.0
128,256,8691.35,691.47,14.7,185.1
256,256,11778.33,1123.64,21.7,227.8
2,512,4321.98,213.67,0.5,9.4
4,512,4570.63,249.3,0.9,16.0
8,512,5737.31,269.59,1.4,29.7
16,512,6512.24,314.57,2.5,50.9
32,512,7301.95,378.49,4.4,84.5
64,512,8494.67,501.1,7.5,127.7
128,512,11832.24,725.78,10.8,176.4
256,512,17382.79,1119.5,14.7,228.7
2,1024,4399.13,230.07,0.5,8.7
4,1024,6136.27,242.38,0.7,16.5
8,1024,97197.15,273.14,0.1,29.3
16,1024,7375.67,327.16,2.2,48.9
32,1024,8531.29,361.28,3.8,88.6
64,1024,11900.78,515.34,5.4,124.2
128,1024,17958.2,700.61,7.1,182.7
256,1024,29956.73,1137.2,8.5,225.1
