ep_size,backend,mode,num_micro_batches,batch,seq,tokens,status,detail,decode_tpot_ms,oom_side,report,pipeline,resource_h1,resource_h2,h1_rank0_log,h2_rank1_log,h2_rank_last_log
16,broadcast_reduce_overlap,serial,2,2,128,20,OK,,171.437,,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b2_s128_t20/report_xhost_static_serial_ep16_broadcast_reduce_overlap_b2_s128_t20.md,,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b2_s128_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b2_s128_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b2_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b2_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b2_s128_t20/h2_rank16.log
16,broadcast_reduce_overlap,decode-dbo,2,2,128,20,OK,,223.603,,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b2_s128_t20/report_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b2_s128_t20.md,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b2_s128_t20/pipeline_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b2_s128_t20.png,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b2_s128_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b2_s128_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b2_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b2_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b2_s128_t20/h2_rank16.log
16,broadcast_reduce_overlap,decode-dbo-crosslayer,2,2,128,20,OK,,219.895,,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b2_s128_t20/report_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b2_s128_t20.md,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b2_s128_t20/pipeline_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b2_s128_t20.png,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b2_s128_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b2_s128_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b2_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b2_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b2_s128_t20/h2_rank16.log
16,broadcast_reduce_overlap,serial,2,4,128,20,OK,,186.607,,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b4_s128_t20/report_xhost_static_serial_ep16_broadcast_reduce_overlap_b4_s128_t20.md,,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b4_s128_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b4_s128_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b4_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b4_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b4_s128_t20/h2_rank16.log
16,broadcast_reduce_overlap,decode-dbo,2,4,128,20,OK,,242.549,,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b4_s128_t20/report_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b4_s128_t20.md,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b4_s128_t20/pipeline_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b4_s128_t20.png,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b4_s128_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b4_s128_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b4_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b4_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b4_s128_t20/h2_rank16.log
16,broadcast_reduce_overlap,decode-dbo-crosslayer,2,4,128,20,OK,,241.010,,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b4_s128_t20/report_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b4_s128_t20.md,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b4_s128_t20/pipeline_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b4_s128_t20.png,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b4_s128_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b4_s128_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b4_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b4_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b4_s128_t20/h2_rank16.log
16,broadcast_reduce_overlap,serial,2,8,128,20,OK,,208.578,,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b8_s128_t20/report_xhost_static_serial_ep16_broadcast_reduce_overlap_b8_s128_t20.md,,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b8_s128_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b8_s128_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b8_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b8_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b8_s128_t20/h2_rank16.log
16,broadcast_reduce_overlap,decode-dbo,2,8,128,20,OK,,270.010,,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b8_s128_t20/report_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b8_s128_t20.md,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b8_s128_t20/pipeline_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b8_s128_t20.png,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b8_s128_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b8_s128_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b8_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b8_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b8_s128_t20/h2_rank16.log
16,broadcast_reduce_overlap,decode-dbo-crosslayer,2,8,128,20,OK,,277.528,,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b8_s128_t20/report_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b8_s128_t20.md,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b8_s128_t20/pipeline_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b8_s128_t20.png,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b8_s128_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b8_s128_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b8_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b8_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b8_s128_t20/h2_rank16.log
16,broadcast_reduce_overlap,serial,2,16,128,20,OK,,243.727,,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b16_s128_t20/report_xhost_static_serial_ep16_broadcast_reduce_overlap_b16_s128_t20.md,,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b16_s128_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b16_s128_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b16_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b16_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b16_s128_t20/h2_rank16.log
