mode,batch,seq,tokens,status,decode_tpot_ms,h1_hbm_usage_rate_samples,h1_hbm_usage_rate_mean,h1_hbm_usage_rate_p95,h1_hbm_usage_rate_max,h1_hbm_usage_rate_nonzero_mean,h1_aicore_usage_rate_samples,h1_aicore_usage_rate_mean,h1_aicore_usage_rate_p95,h1_aicore_usage_rate_max,h1_aicore_usage_rate_nonzero_mean,h1_aivector_usage_rate_samples,h1_aivector_usage_rate_mean,h1_aivector_usage_rate_p95,h1_aivector_usage_rate_max,h1_aivector_usage_rate_nonzero_mean,h1_aicpu_usage_rate_samples,h1_aicpu_usage_rate_mean,h1_aicpu_usage_rate_p95,h1_aicpu_usage_rate_max,h1_aicpu_usage_rate_nonzero_mean,h1_ctrlcpu_usage_rate_samples,h1_ctrlcpu_usage_rate_mean,h1_ctrlcpu_usage_rate_p95,h1_ctrlcpu_usage_rate_max,h1_ctrlcpu_usage_rate_nonzero_mean,h1_hbm_bandwidth_usage_rate_samples,h1_hbm_bandwidth_usage_rate_mean,h1_hbm_bandwidth_usage_rate_p95,h1_hbm_bandwidth_usage_rate_max,h1_hbm_bandwidth_usage_rate_nonzero_mean,h1_npu_utilization_samples,h1_npu_utilization_mean,h1_npu_utilization_p95,h1_npu_utilization_max,h1_npu_utilization_nonzero_mean,h1_aicube_usage_rate_samples,h1_aicube_usage_rate_mean,h1_aicube_usage_rate_p95,h1_aicube_usage_rate_max,h1_aicube_usage_rate_nonzero_mean,h2_hbm_usage_rate_samples,h2_hbm_usage_rate_mean,h2_hbm_usage_rate_p95,h2_hbm_usage_rate_max,h2_hbm_usage_rate_nonzero_mean,h2_aicore_usage_rate_samples,h2_aicore_usage_rate_mean,h2_aicore_usage_rate_p95,h2_aicore_usage_rate_max,h2_aicore_usage_rate_nonzero_mean,h2_aivector_usage_rate_samples,h2_aivector_usage_rate_mean,h2_aivector_usage_rate_p95,h2_aivector_usage_rate_max,h2_aivector_usage_rate_nonzero_mean,h2_aicpu_usage_rate_samples,h2_aicpu_usage_rate_mean,h2_aicpu_usage_rate_p95,h2_aicpu_usage_rate_max,h2_aicpu_usage_rate_nonzero_mean,h2_ctrlcpu_usage_rate_samples,h2_ctrlcpu_usage_rate_mean,h2_ctrlcpu_usage_rate_p95,h2_ctrlcpu_usage_rate_max,h2_ctrlcpu_usage_rate_nonzero_mean,h2_hbm_bandwidth_usage_rate_samples,h2_hbm_bandwidth_usage_rate_mean,h2_hbm_bandwidth_usage_rate_p95,h2_hbm_bandwidth_usage_rate_max,h2_hbm_bandwidth_usage_rate_nonzero_mean,h2_npu_utilization_samples,h2_npu_utilization_mean,h2_npu_utilization_p95,h2_npu_utilization_max,h2_npu_utilization_nonzero_mean,h2_aicube_usage_rate_samples,h2_aicube_usage_rate_mean,h2_aicube_usage_rate_p95,h2_aicube_usage_rate_max,h2_aicube_usage_rate_nonzero_mean
serial,2,128,20,OK,171.437,109,7.56,9.6,10.0,7.56,109,0.037,0.0,2.0,2.0,109,0.037,0.0,2.0,2.0,109,0.028,0.0,1.0,1.0,109,4.835,11.0,16.0,4.972,109,0.009,0.0,1.0,1.0,109,0.743,0.0,37.0,27.0,109,0.018,0.0,1.0,1.0,234,4.872,10.0,12.0,4.872,234,0.0,0.0,0.0,0.0,234,0.0,0.0,0.0,0.0,234,0.03,0.0,2.0,1.167,234,4.051,12.0,25.0,4.195,234,0.026,0.0,5.0,3.0,234,0.248,0.0,17.0,8.286,234,0.0,0.0,0.0,0.0
decode-dbo,2,128,20,OK,223.603,108,7.583,10.0,11.0,7.583,108,0.13,0.0,7.0,3.5,108,0.083,0.0,5.0,2.25,108,0.046,0.0,2.0,1.25,108,4.852,12.0,21.0,5.038,108,0.0,0.0,0.0,0.0,108,1.278,1.95,41.0,23.0,108,0.028,0.0,2.0,1.5,235,4.847,10.3,12.0,4.847,235,0.021,0.0,1.0,1.0,235,0.009,0.0,1.0,1.0,235,0.043,0.0,2.0,1.25,235,4.268,11.0,26.0,4.58,235,0.004,0.0,1.0,1.0,235,0.421,0.0,20.0,12.375,235,0.0,0.0,0.0,0.0
decode-dbo-crosslayer,2,128,20,OK,219.895,110,7.6,10.0,11.0,7.6,110,0.127,0.0,12.0,7.0,110,0.018,0.0,1.0,1.0,110,0.036,0.0,2.0,1.333,110,5.045,11.0,17.0,5.092,110,0.009,0.0,1.0,1.0,110,0.827,0.0,37.0,22.75,110,0.018,0.0,1.0,1.0,239,4.808,10.1,13.0,4.808,239,0.017,0.0,1.0,1.0,239,0.0,0.0,0.0,0.0,239,0.05,0.0,3.0,1.714,239,4.209,12.1,27.0,4.393,239,0.0,0.0,0.0,0.0,239,0.69,0.0,31.0,20.625,239,0.0,0.0,0.0,0.0
serial,4,128,20,OK,186.607,109,7.505,9.6,10.0,7.505,109,0.037,0.0,2.0,2.0,109,0.018,0.0,1.0,1.0,109,0.018,0.0,1.0,1.0,109,5.037,12.2,19.0,5.083,109,0.018,0.0,1.0,1.0,109,0.743,0.0,37.0,20.25,109,0.0,0.0,0.0,0.0,237,4.966,10.2,12.0,4.966,237,0.008,0.0,1.0,1.0,237,0.013,0.0,2.0,1.5,237,0.025,0.0,1.0,1.0,237,4.536,12.0,29.0,4.634,237,0.008,0.0,1.0,1.0,237,0.561,0.0,41.0,13.3,237,0.0,0.0,0.0,0.0
decode-dbo,4,128,20,OK,242.549,109,7.606,10.0,11.0,7.606,109,0.22,0.0,9.0,6.0,109,0.101,0.0,5.0,2.75,109,0.028,0.0,1.0,1.0,109,5.78,11.6,53.0,5.833,109,0.0,0.0,0.0,0.0,109,0.991,0.0,37.0,27.0,109,0.037,0.0,2.0,1.333,236,4.894,11.0,13.0,4.894,236,0.013,0.0,1.0,1.0,236,0.0,0.0,0.0,0.0,236,0.034,0.0,2.0,1.333,236,4.436,11.0,28.0,4.572,236,0.017,0.0,3.0,2.0,236,0.636,0.0,37.0,16.667,236,0.0,0.0,0.0,0.0
decode-dbo-crosslayer,4,128,20,OK,241.010,111,7.631,10.0,11.0,7.631,111,0.378,0.0,36.0,21.0,111,0.054,0.0,5.0,3.0,111,0.036,0.0,1.0,1.0,111,4.982,10.0,20.0,4.982,111,0.009,0.0,1.0,1.0,111,0.919,0.0,51.0,25.5,111,0.018,0.0,1.0,1.0,240,5.071,10.05,13.0,5.071,240,0.029,0.0,2.0,1.167,240,0.025,0.0,2.0,1.2,240,0.046,0.0,2.0,1.375,240,4.367,11.05,30.0,4.576,240,0.0,0.0,0.0,0.0,240,0.817,0.0,34.0,21.778,240,0.0,0.0,0.0,0.0
serial,8,128,20,OK,208.578,106,7.566,9.75,10.0,7.566,106,0.16,0.0,11.0,5.667,106,0.094,0.0,5.0,3.333,106,0.047,0.0,2.0,1.25,106,4.84,10.5,23.0,5.079,106,0.009,0.0,1.0,1.0,106,0.764,0.0,41.0,27.0,106,0.0,0.0,0.0,0.0,251,4.761,10.0,12.0,4.761,251,0.008,0.0,1.0,1.0,251,0.008,0.0,1.0,1.0,251,0.02,0.0,1.0,1.0,251,4.163,11.5,27.0,4.354,251,0.0,0.0,0.0,0.0,251,0.438,0.0,24.0,12.222,251,0.0,0.0,0.0,0.0
decode-dbo,8,128,20,OK,270.010,112,7.625,10.0,11.0,7.625,112,0.571,0.0,51.0,16.0,112,0.205,0.0,11.0,5.75,112,0.054,0.0,2.0,2.0,112,4.741,10.45,22.0,4.827,112,0.0,0.0,0.0,0.0,112,1.205,2.7,48.0,22.5,112,0.071,0.0,3.0,2.0,240,5.112,10.05,13.0,5.112,240,0.025,0.0,2.0,2.0,240,0.021,0.0,2.0,1.25,240,0.058,0.0,2.0,1.556,240,4.662,12.0,32.0,4.782,240,0.0,0.0,0.0,0.0,240,0.787,0.0,41.0,21.0,240,0.0,0.0,0.0,0.0
decode-dbo-crosslayer,8,128,20,OK,277.528,109,7.56,10.0,11.0,7.56,109,0.853,0.0,54.0,23.25,109,0.147,0.0,7.0,4.0,109,0.064,0.0,2.0,1.75,109,4.872,10.0,16.0,4.917,109,0.0,0.0,0.0,0.0,109,1.56,6.0,44.0,28.333,109,0.083,0.0,4.0,2.25,237,4.92,11.0,13.0,4.92,237,0.038,0.0,2.0,1.286,237,0.021,0.0,2.0,1.25,237,0.038,0.0,2.0,1.286,237,4.536,14.4,30.0,4.694,237,0.0,0.0,0.0,0.0,237,0.603,0.0,24.0,15.889,237,0.0,0.0,0.0,0.0
serial,16,128,20,OK,243.727,110,7.573,9.55,11.0,7.573,110,0.6,0.0,45.0,22.0,110,0.327,0.0,20.0,12.0,110,0.073,0.0,3.0,2.0,110,5.018,12.0,19.0,5.257,110,0.018,0.0,1.0,1.0,110,0.982,0.0,44.0,27.0,110,0.073,0.0,6.0,4.0,238,4.899,10.0,12.0,4.899,238,0.008,0.0,1.0,1.0,238,0.021,0.0,2.0,1.25,238,0.021,0.0,2.0,1.25,238,4.244,11.15,28.0,4.335,238,0.008,0.0,2.0,2.0,238,0.42,0.0,27.0,12.5,238,0.013,0.0,1.0,1.0
