ep_size,backend,mode,num_micro_batches,batch,seq,tokens,status,detail,decode_tpot_ms,oom_side,report,pipeline,resource_h1,resource_h2,h1_rank0_log,h2_rank1_log,h2_rank_last_log
16,broadcast_reduce_overlap,serial,2,2,128,20,OK,,175.665,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b2_s128_t20/report_xhost_static_serial_ep16_broadcast_reduce_overlap_b2_s128_t20.md,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b2_s128_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b2_s128_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b2_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b2_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b2_s128_t20/h2_rank16.log
16,broadcast_reduce_overlap,decode-dbo,2,2,128,20,OK,,226.867,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b2_s128_t20/report_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b2_s128_t20.md,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b2_s128_t20/pipeline_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b2_s128_t20.png,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b2_s128_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b2_s128_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b2_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b2_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b2_s128_t20/h2_rank16.log
16,broadcast_reduce_overlap,serial,2,4,128,20,OK,,191.235,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b4_s128_t20/report_xhost_static_serial_ep16_broadcast_reduce_overlap_b4_s128_t20.md,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b4_s128_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b4_s128_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b4_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b4_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b4_s128_t20/h2_rank16.log
16,broadcast_reduce_overlap,decode-dbo,2,4,128,20,OK,,248.340,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b4_s128_t20/report_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b4_s128_t20.md,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b4_s128_t20/pipeline_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b4_s128_t20.png,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b4_s128_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b4_s128_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b4_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b4_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b4_s128_t20/h2_rank16.log
16,broadcast_reduce_overlap,serial,2,8,128,20,OK,,212.991,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b8_s128_t20/report_xhost_static_serial_ep16_broadcast_reduce_overlap_b8_s128_t20.md,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b8_s128_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b8_s128_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b8_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b8_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b8_s128_t20/h2_rank16.log
16,broadcast_reduce_overlap,decode-dbo,2,8,128,20,OK,,279.032,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b8_s128_t20/report_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b8_s128_t20.md,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b8_s128_t20/pipeline_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b8_s128_t20.png,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b8_s128_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b8_s128_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b8_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b8_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b8_s128_t20/h2_rank16.log
16,broadcast_reduce_overlap,serial,2,16,128,20,OK,,251.015,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b16_s128_t20/report_xhost_static_serial_ep16_broadcast_reduce_overlap_b16_s128_t20.md,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b16_s128_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b16_s128_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b16_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b16_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b16_s128_t20/h2_rank16.log
16,broadcast_reduce_overlap,decode-dbo,2,16,128,20,OK,,324.540,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b16_s128_t20/report_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b16_s128_t20.md,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b16_s128_t20/pipeline_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b16_s128_t20.png,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b16_s128_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b16_s128_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b16_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b16_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b16_s128_t20/h2_rank16.log
16,broadcast_reduce_overlap,serial,2,32,128,20,OK,,306.190,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b32_s128_t20/report_xhost_static_serial_ep16_broadcast_reduce_overlap_b32_s128_t20.md,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b32_s128_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b32_s128_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b32_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b32_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b32_s128_t20/h2_rank16.log
16,broadcast_reduce_overlap,decode-dbo,2,32,128,20,OK,,383.229,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b32_s128_t20/report_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b32_s128_t20.md,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b32_s128_t20/pipeline_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b32_s128_t20.png,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b32_s128_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b32_s128_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b32_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b32_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b32_s128_t20/h2_rank16.log
