batch,seq,tokens,decode_tpot_ms,prefill_ms,total_time_ms,attn_compute_l0_mb0_ms,attn_compute_tail_mb0_median_ms,attn_compute_l0_mb0_ratio,send_transfer_l0_mb0_ms,send_transfer_tail_mb0_median_ms,send_transfer_l0_mb0_ratio,recv_wait_l0_mb0_ms,recv_wait_tail_mb0_median_ms,recv_wait_l0_mb0_ratio,max_l0_mb0_ratio,likely_l0_cold_start,file
128,1024,20,1019.692567,11647.346132,594.895717,3.315685,3.111145,1.065744,0.093313,0.063486,1.469810,6.397050,4.886923,1.309014,1.469810,False,/Users/zhangyuzheng/Desktop/博士/Research/Huawei/Code/afd_demo/results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s1024_t20.json
128,128,20,884.871427,3889.562152,454.286003,2.144456,1.389571,1.543251,0.107102,0.061837,1.732006,9.029392,5.614308,1.608282,1.732006,False,/Users/zhangyuzheng/Desktop/博士/Research/Huawei/Code/afd_demo/results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s128_t20.json
128,2048,20,1231.369217,24434.506731,848.085590,5.466891,5.190459,1.053258,0.103191,0.062904,1.640436,8.627359,5.831865,1.479348,1.640436,False,/Users/zhangyuzheng/Desktop/博士/Research/Huawei/Code/afd_demo/results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s2048_t20.json
128,256,20,851.722009,5101.528840,458.622413,1.821004,1.386080,1.313780,0.085082,0.060321,1.410490,9.337032,6.060274,1.540695,1.540695,False,/Users/zhangyuzheng/Desktop/博士/Research/Huawei/Code/afd_demo/results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s256_t20.json
128,512,20,900.349886,7088.421915,496.629544,2.160696,1.940860,1.113267,0.089152,0.062300,1.431010,10.592030,5.425643,1.952217,1.952217,False,/Users/zhangyuzheng/Desktop/博士/Research/Huawei/Code/afd_demo/results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s512_t20.json
16,1024,20,404.490974,3967.035931,354.802439,1.517111,1.102545,1.376008,0.082480,0.060805,1.356461,5.161501,4.514426,1.143335,1.376008,False,/Users/zhangyuzheng/Desktop/博士/Research/Huawei/Code/afd_demo/results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s1024_t20.json
16,128,20,356.732688,2528.159883,332.363430,1.602074,1.018313,1.573263,0.079403,0.061103,1.299486,5.865617,4.187894,1.400612,1.573263,False,/Users/zhangyuzheng/Desktop/博士/Research/Huawei/Code/afd_demo/results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s128_t20.json
16,2048,20,372.050380,5287.542377,389.043270,1.964375,1.386297,1.416995,0.104692,0.062755,1.668255,5.105380,4.389031,1.163214,1.668255,False,/Users/zhangyuzheng/Desktop/博士/Research/Huawei/Code/afd_demo/results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s2048_t20.json
16,256,20,350.779972,3248.041648,329.511341,1.666874,1.014749,1.642647,0.082070,0.061177,1.341524,5.585471,3.980611,1.403169,1.642647,False,/Users/zhangyuzheng/Desktop/博士/Research/Huawei/Code/afd_demo/results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s256_t20.json
16,512,20,382.400439,5419.285759,367.470324,1.702795,1.117162,1.524214,0.100279,0.064194,1.562123,6.951885,4.563475,1.523375,1.562123,False,/Users/zhangyuzheng/Desktop/博士/Research/Huawei/Code/afd_demo/results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s512_t20.json
256,1024,20,1633.856835,20409.319250,814.162791,5.428482,5.318281,1.020721,0.080412,0.062482,1.286977,6.728971,4.601442,1.462361,1.462361,False,/Users/zhangyuzheng/Desktop/博士/Research/Huawei/Code/afd_demo/results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s1024_t20.json
256,128,20,1334.052752,4899.702311,525.011005,2.552781,1.751397,1.457569,0.109630,0.059416,1.845134,11.885492,6.442985,1.844718,1.845134,False,/Users/zhangyuzheng/Desktop/博士/Research/Huawei/Code/afd_demo/results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s128_t20.json
