mode,batch,seq,tokens,status,tpot_ms,serial_tpot_ms,speedup,prefill_ms,serial_prefill_ms,prefill_speedup,total_time_ms,correctness_tokens
serial,2,128,20,cached,232.999309,232.999309,,1809.366213,1809.366213,,6336.377354,
serial,2,256,20,cached,228.835087,228.835087,,1810.729753,1810.729753,,6252.150921,
serial,2,512,20,cached,235.681577,235.681577,,1843.860777,1843.860777,,6415.446693,
serial,2,1024,20,cached,223.939134,223.939134,,1796.999406,1796.999406,,6143.536037,
serial,2,2048,20,cached,243.484836,243.484836,,1902.709397,1902.709397,,6622.709095,
serial,4,128,20,cached,252.722040,252.722040,,1810.318829,1810.318829,,6706.047663,
serial,4,256,20,cached,252.753182,252.753182,,1854.280565,1854.280565,,6752.003057,
serial,4,512,20,cached,264.484759,264.484759,,2077.599488,2077.599488,,7199.904148,
serial,4,1024,20,cached,250.605191,250.605191,,1801.795335,1801.795335,,6660.438512,
serial,4,2048,20,cached,261.056418,261.056418,,1810.688071,1810.688071,,6864.834484,
serial,8,128,20,cached,331.681323,331.681323,,1754.059607,1754.059607,,8158.431659,
serial,8,256,20,cached,356.937195,356.937195,,1884.351173,1884.351173,,8772.773568,
serial,8,512,20,cached,351.484312,351.484312,,1925.619027,1925.619027,,8707.135808,
serial,8,1024,20,cached,332.902055,332.902055,,1787.238076,1787.238076,,8215.828814,
serial,8,2048,20,cached,372.192135,372.192135,,1842.269661,1842.269661,,9016.790414,
serial,16,128,20,cached,482.928947,482.928947,,1860.941635,1860.941635,,11159.262618,
serial,16,256,20,cached,502.990068,502.990068,,1828.425616,1828.425616,,11506.989378,
serial,16,512,20,cached,502.898644,502.898644,,1827.006565,1827.006565,,11503.559768,
serial,16,1024,20,cached,476.024776,476.024776,,1842.301028,1842.301028,,11006.303726,
serial,16,2048,20,cached,478.085149,478.085149,,1808.415912,1808.415912,,11012.704160,
serial,32,128,20,cached,608.119416,608.119416,,1834.464157,1834.464157,,13543.813730,
serial,32,256,20,cached,562.793789,562.793789,,1834.735934,1834.735934,,12678.145066,
serial,32,512,20,cached,567.047600,567.047600,,1811.751774,1811.751774,,12738.589576,
serial,32,1024,20,cached,614.067200,614.067200,,1846.701922,1846.701922,,13668.351030,
serial,32,2048,20,cached,574.730028,574.730028,,1952.356802,1952.356802,,13029.310709,
serial,64,128,20,cached,727.736536,727.736536,,1886.973413,1886.973413,,15975.569792,
