mode,batch,seq,tokens,preset,ffn_ep_backend,visible_chip_pool,active_world_size,status,report
serial,2,128,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b2_s128_t20.json
serial,4,128,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b4_s128_t20.json
serial,8,128,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b8_s128_t20.json
serial,16,128,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b16_s128_t20.json
serial,32,128,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b32_s128_t20.json
serial,64,128,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b64_s128_t20.json
serial,128,128,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b128_s128_t20.json
serial,256,128,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b256_s128_t20.json
serial,512,128,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b512_s128_t20.json
serial,2,256,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b2_s256_t20.json
serial,4,256,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b4_s256_t20.json
serial,8,256,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b8_s256_t20.json
serial,16,256,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b16_s256_t20.json
serial,32,256,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b32_s256_t20.json
serial,64,256,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b64_s256_t20.json
serial,128,256,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b128_s256_t20.json
serial,256,256,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b256_s256_t20.json
serial,512,256,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b512_s256_t20.json
serial,2,512,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b2_s512_t20.json
serial,4,512,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b4_s512_t20.json
serial,8,512,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b8_s512_t20.json
serial,16,512,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b16_s512_t20.json
serial,32,512,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b32_s512_t20.json
serial,64,512,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b64_s512_t20.json
serial,128,512,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b128_s512_t20.json
serial,256,512,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b256_s512_t20.json
serial,512,512,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b512_s512_t20.json
serial,2,1024,20,npu-ep7,broadcast_reduce_overlap,16,8,cached,results_npu/serial/cache/b2_s1024_t20.json
