mode,batch,seq,tokens,status,tpot_ms,serial_tpot_ms,speedup,correctness_tokens
serial,2,128,20,cached,,,,
serial,4,128,20,cached,,,,
serial,8,128,20,cached,,,,
serial,16,128,20,cached,,,,
serial,32,128,20,cached,,,,
serial,64,128,20,cached,,,,
serial,128,128,20,cached,,,,
serial,256,128,20,cached,,,,
serial,512,128,20,cached,,,,
serial,2,256,20,cached,,,,
serial,4,256,20,cached,,,,
serial,8,256,20,cached,,,,
serial,16,256,20,cached,,,,
serial,32,256,20,cached,,,,
serial,64,256,20,cached,,,,
serial,128,256,20,cached,,,,
serial,256,256,20,cached,,,,
serial,512,256,20,cached,,,,
serial,2,512,20,cached,,,,
serial,4,512,20,cached,,,,
serial,8,512,20,cached,,,,
serial,16,512,20,cached,,,,
serial,32,512,20,cached,,,,
serial,64,512,20,cached,,,,
serial,128,512,20,cached,,,,
serial,256,512,20,cached,,,,
serial,512,512,20,cached,,,,
serial,2,1024,20,cached,,,,
serial,4,1024,20,cached,,,,
serial,8,1024,20,cached,,,,
serial,16,1024,20,cached,,,,
serial,32,1024,20,cached,,,,
serial,64,1024,20,cached,,,,
serial,128,1024,20,cached,,,,
serial,256,1024,20,cached,,,,
serial,512,1024,20,cached,,,,
serial,2,2048,20,cached,,,,
serial,4,2048,20,cached,,,,
serial,8,2048,20,cached,,,,
serial,16,2048,20,cached,,,,
serial,32,2048,20,cached,,,,
serial,64,2048,20,cached,,,,
serial,128,2048,20,cached,,,,
serial,256,2048,20,cached,,,,
serial,512,2048,20,cached,,,,
decode-dbo,2,128,20,ok,180.839,232.999,1.288,
decode-dbo,4,128,20,ok,194.354,252.722,1.3,
decode-dbo,8,128,20,ok,210.947,331.681,1.572,
decode-dbo,16,128,20,ok,206.879,482.929,2.334,
decode-dbo,32,128,20,ok,223.482,608.119,2.721,
decode-dbo,64,128,20,ok,253.62,727.737,2.869,
decode-dbo,128,128,20,ok,263.261,943.197,3.583,
decode-dbo,256,128,20,ok,303.756,1551.135,5.107,
decode-dbo,512,128,20,ok,413.735,2426.876,5.866,
decode-dbo,2,256,20,ok,195.92,228.835,1.168,
decode-dbo,4,256,20,ok,205.756,252.753,1.228,
decode-dbo,8,256,20,ok,226.297,356.937,1.577,
decode-dbo,16,256,20,ok,241.658,502.99,2.081,
decode-dbo,32,256,20,ok,264.233,562.794,2.13,
decode-dbo,64,256,20,ok,280.257,778.501,2.778,
decode-dbo,128,256,20,ok,311.086,1019.601,3.278,
decode-dbo,256,256,20,ok,417.143,1501.062,3.598,
decode-dbo,512,256,20,ok,536.702,2376.826,4.429,
decode-dbo,2,512,20,ok,185.793,235.682,1.269,
decode-dbo,4,512,20,ok,183.985,264.485,1.438,
decode-dbo,8,512,20,ok,233.849,351.484,1.503,
decode-dbo,16,512,20,ok,268.009,502.899,1.876,
decode-dbo,32,512,20,ok,311.569,567.048,1.82,
decode-dbo,64,512,20,ok,353.609,787.877,2.228,
decode-dbo,128,512,20,ok,440.963,993.801,2.254,
decode-dbo,256,512,20,ok,575.895,1497.96,2.601,
decode-dbo,512,512,20,ok,775.336,2452.359,3.163,
decode-dbo,2,1024,20,ok,191.228,223.939,1.171,
decode-dbo,4,1024,20,ok,204.277,250.605,1.227,
decode-dbo,8,1024,20,ok,229.5,332.902,1.451,
