mode,batch,seq,tokens,preset,ffn_ep_backend,routing_backend,routing_update_mode,visible_chip_pool,active_world_size,status,tpot_ms,prefill_ms,total_time_ms,routing_table_version,routing_poll_count,routing_poll_ms,report,warmup_p2p,warmup_rounds,prefill_warmup_rounds,warmup_tag
serial,2,128,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,cached,156.326481,2613.612031,5681.178113,,,,results_npu_ep7_host2/serial/cache/b2_s128_t20.json,false,5,auto,
serial,4,128,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,180.318759,2536.328571,6027.132558,,0,0.000000,results_npu_ep7_host2/serial/report_serial_npu_ep7_broadcast_reduce_overlap_b4_s128_t20_comm-completion.md,false,5,auto,
serial,8,128,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,211.930461,2623.255099,6724.126899,,0,0.000000,results_npu_ep7_host2/serial/report_serial_npu_ep7_broadcast_reduce_overlap_b8_s128_t20_comm-completion.md,false,5,auto,
serial,16,128,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,269.384546,2867.926130,8077.540081,,0,0.000000,results_npu_ep7_host2/serial/report_serial_npu_ep7_broadcast_reduce_overlap_b16_s128_t20_comm-completion.md,false,5,auto,
serial,32,128,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,342.522309,3527.227106,10210.599008,,0,0.000000,results_npu_ep7_host2/serial/report_serial_npu_ep7_broadcast_reduce_overlap_b32_s128_t20_comm-completion.md,false,5,auto,
serial,64,128,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,468.096102,4035.177085,13155.922616,,0,0.000000,results_npu_ep7_host2/serial/report_serial_npu_ep7_broadcast_reduce_overlap_b64_s128_t20_comm-completion.md,false,5,auto,
serial,2,256,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,156.073071,2558.407456,5585.864381,,0,0.000000,results_npu_ep7_host2/serial/report_serial_npu_ep7_broadcast_reduce_overlap_b2_s256_t20_comm-completion.md,false,5,auto,
serial,4,256,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,172.212628,2694.663934,6031.656392,,0,0.000000,results_npu_ep7_host2/serial/report_serial_npu_ep7_broadcast_reduce_overlap_b4_s256_t20_comm-completion.md,false,5,auto,
serial,8,256,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,218.453128,2796.350546,7019.831236,,0,0.000000,results_npu_ep7_host2/serial/report_serial_npu_ep7_broadcast_reduce_overlap_b8_s256_t20_comm-completion.md,false,5,auto,
serial,16,256,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,259.725500,3547.916938,8621.039122,,0,0.000000,results_npu_ep7_host2/serial/report_serial_npu_ep7_broadcast_reduce_overlap_b16_s256_t20_comm-completion.md,false,5,auto,
serial,32,256,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,328.026323,3904.861712,10261.218868,,0,0.000000,results_npu_ep7_host2/serial/report_serial_npu_ep7_broadcast_reduce_overlap_b32_s256_t20_comm-completion.md,false,5,auto,
serial,64,256,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,479.883123,4808.192435,14154.233484,,0,0.000000,results_npu_ep7_host2/serial/report_serial_npu_ep7_broadcast_reduce_overlap_b64_s256_t20_comm-completion.md,false,5,auto,
serial,2,512,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,157.936577,2599.943272,5669.782202,,0,0.000000,results_npu_ep7_host2/serial/report_serial_npu_ep7_broadcast_reduce_overlap_b2_s512_t20_comm-completion.md,false,5,auto,
serial,4,512,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,178.921946,2800.774305,6264.773268,,0,0.000000,results_npu_ep7_host2/serial/report_serial_npu_ep7_broadcast_reduce_overlap_b4_s512_t20_comm-completion.md,false,5,auto,
serial,8,512,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,219.815008,3627.330720,7876.842370,,0,0.000000,results_npu_ep7_host2/serial/report_serial_npu_ep7_broadcast_reduce_overlap_b8_s512_t20_comm-completion.md,false,5,auto,
